buy_rank,portfolio_group,ts_code,name,rank,price,pct_chg,sector_name,tail_profit_score,tail_profit_model_version,amount_ratio_5d,p_limitup_t1,wp_score,decision_score,model_confidence,risk_penalty_score,acceptance_score,momentum_score,close_position,intraday_pullback_pct,intraday_vwap_position,confirm_before_buy,reject_if,buy_reason,next_trade_date,label_t1_limitup,label_available,next_day_open,next_day_high,next_day_close,next_day_low,next_day_limitup_price,next_day_open_pct,next_day_max_pct,next_day_close_pct,next_day_drawdown_pct,next_open,next_high,next_close,next_low,next_up_limit,backtest_trade_date,backtest_data_mode,calibration_eligible
1,主票,001309.SZ,德明利,1,320.05,9.046,半导体,78.0,tail_profit_v1,1.3762201361976587,3.6470679108085124,69.96597984823603,78.0,82.89473684210526,0.0,100.0,82.38436110176956,89.93891484010058,0.8748633026089747,2.3701381780961928,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、风险低,20260316,1.0,True,318.0,352.06,352.06,309.51,352.06,-0.6405249179815664,10.001562255897522,10.001562255897522,-3.293235431963759,318.0,352.06,352.06,309.51,352.06,20260313,eod_proxy,False
1,主票,688449.SH,联芸科技,1,49.7,8.0435,半导体,80.403226,tail_profit_v1,2.093233586969229,2.127435372062491,72.27842846110393,80.403226,85.0,0.0,90.69503791261376,73.29297925845839,87.95698924731192,1.1267605633802802,2.424950195782105,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、板块强、风险低,20260317,0.0,True,49.7,50.43,48.54,48.4,59.64,0.0,1.46881287726357,-2.3340040241448756,-2.6156941649899457,49.7,50.43,48.54,48.4,59.64,20260316,eod_proxy,False
1,主票,300975.SZ,商络电子,1,18.78,8.1174,元器件,90.416667,tail_profit_v1,2.18084442097607,3.7307058438473555,65.20324523510895,90.416667,83.77611491716348,4.895540331346073,60.63642508397133,83.28548809497009,65.97938144329898,3.514376996805102,1.1127063890882916,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、板块强,20260318,0.0,True,18.77,18.95,18.65,18.2,22.54,-0.05324813631524261,0.9052183173588801,-0.6922257720979874,-3.0883919062832943,18.77,18.95,18.65,18.2,22.54,20260317,eod_proxy,False
1,主票,300394.SZ,天孚通信,1,303.3,8.3214,通信设备,84.910714,tail_profit_v1,1.2781457533847838,3.9908603066443034,66.03663067736652,84.910714,85.0,0.0,75.78734505937392,20.00203681406073,86.99324324324353,0.5077481041872556,0.9721020041281392,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、板块强,20260319,0.0,True,305.57,316.6,307.99,301.0,363.96,0.748433893834477,4.3850972634355445,1.54632377184305,-0.7583250906693095,305.57,316.6,307.99,301.0,363.96,20260318,eod_proxy,False
1,主票,920088.BJ,科力股份,1,77.13,8.481,石油开采,70.0,tail_profit_v1,1.297491388179551,1.301765690517747,36.341618720966494,70.0,72.3586150736138,42.14448707396585,45.554774840067175,54.830039542905126,58.95522388059683,2.139245429793868,0.31213421771361105,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热,20260320,0.0,True,70.5,74.2,73.14,70.37,100.26,-8.595877090626214,-3.7987812783611963,-5.173084402956041,-8.764423700246326,70.5,74.2,73.14,70.37,100.26,20260319,eod_proxy,False
1,主票,300502.SZ,新易盛,1,477.05,8.322,通信设备,85.0,tail_profit_v1,1.5630851542052133,3.2465537964017814,58.30624116127643,85.0,81.52968907140463,5.460191082802505,73.75027689257523,77.334509897455,57.866242038216654,2.7732942039618402,0.34637255383147547,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、风险低,20260323,0.0,True,456.13,477.87,460.44,453.0,572.46,-4.385284561366731,0.1718897390210694,-3.481815323341375,-5.041400272508123,456.13,477.87,460.44,453.0,572.46,20260320,eod_proxy,False
1,主票,002506.SZ,协鑫集成,1,5.8,8.0074,电气设备,93.846154,tail_profit_v1,1.816069801692934,4.6094622087075035,81.27097115278903,93.846154,85.0,0.0,80.82556127544038,73.62168396770471,84.50704225352108,1.8965517241379404,2.8976936723831948,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、板块强,20260324,0.0,True,5.81,5.98,5.87,5.5,6.38,0.17241379310344307,3.1034482758620863,1.206896551724146,-5.1724137931034475,5.81,5.98,5.87,5.5,6.38,20260323,eod_proxy,False
1,主票,301511.SZ,德福科技,1,37.19,8.2678,电气设备,89.12844,tail_profit_v1,1.1883139066295734,4.909736777688843,82.15960577156815,89.12844,85.0,0.0,93.04402690048347,55.65052842792707,96.76470588235296,0.2957784350631876,2.9338499861610856,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、板块强,20260325,0.0,True,37.76,38.43,37.64,36.81,44.63,1.5326700726001619,3.3342296316213993,1.2100026888948623,-1.0217800484001005,37.76,38.43,37.64,36.81,44.63,20260324,eod_proxy,False
1,主票,002281.SZ,光迅科技,1,86.45,8.2384,通信设备,89.056604,tail_profit_v1,1.486802822414432,4.60652750136006,75.74534672806203,89.056604,85.0,0.0,71.4680758045855,65.0899534135305,73.69402985074633,1.6310005783690018,0.9890580584868136,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、板块强,20260326,0.0,True,84.77,88.47,85.0,84.37,95.1,-1.9433198380566896,2.336610757663382,-1.6772700983227362,-2.406015037593978,84.77,88.47,85.0,84.37,95.1,20260325,eod_proxy,False
1,主票,000973.SZ,佛塑科技,1,18.46,8.3969,塑料,81.153846,tail_profit_v1,1.3442420622692783,2.561519369870846,71.18095289603721,81.153846,85.0,0.0,99.93201946710481,83.09487414889745,85.1648351648352,1.4626218851570894,2.365988909426986,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、板块强,20260327,0.0,True,17.91,19.75,19.59,17.71,20.31,-2.97941495124594,6.988082340195012,6.121343445287097,-4.062838569880823,17.91,19.75,19.59,17.71,20.31,20260326,eod_proxy,False
1,主票,301150.SZ,中一科技,1,56.93,8.0061,电气设备,87.134146,tail_profit_v1,1.7964241140353316,3.0917288300803234,69.86644795435228,87.134146,85.0,0.0,81.2287724708649,78.55100480071461,86.37015781922523,1.6687159669769969,3.0593772628529914,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、板块强,20260330,0.0,True,56.3,58.65,57.87,55.0,68.32,-1.1066221675742227,3.021254171789911,1.651150535745649,-3.3901282276479927,56.3,58.65,57.87,55.0,68.32,20260327,eod_proxy,False
1,主票,600105.SH,永鼎股份,1,27.69,8.3757,通信设备,87.177419,tail_profit_v1,1.733458615030481,4.269287028743,69.31729467893653,87.177419,85.0,0.0,88.50777815035187,63.39707132603858,87.09677419354844,1.444564824846517,2.847591927695947,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、板块强,20260331,0.0,True,27.13,28.28,27.74,26.9,30.46,-2.0223907547851305,2.13073311664862,0.18057060310581186,-2.8530155290718784,27.13,28.28,27.74,26.9,30.46,20260330,eod_proxy,False
1,主票,002730.SZ,电光科技,1,26.5,8.5621,专用机械,86.09375,tail_profit_v1,1.443774143307415,4.411024451663729,68.83520698285284,86.09375,79.36478292505457,14.119815668202774,95.357631758753,78.76586390081428,86.89138576779023,1.3207547169811429,2.5409518895911143,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、风险低,20260401,1.0,True,26.05,29.15,29.15,26.0,29.15,-1.6981132075471694,9.999999999999986,9.999999999999986,-1.8867924528301883,26.05,29.15,29.15,26.0,29.15,20260331,eod_proxy,False
1,主票,600590.SH,泰豪科技,1,13.9,8.0031,通信设备,81.898734,tail_profit_v1,0.9578216135991041,2.1568976817205363,56.59797031304486,81.898734,85.0,0.0,57.76788794677973,52.49559088535783,75.75757575757575,1.726618705035965,1.238164603059011,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、风险低,20260402,0.0,True,13.87,14.1,13.67,13.44,15.29,-0.21582733812950394,1.4388489208633004,-1.6546762589928043,-3.30935251798562,13.87,14.1,13.67,13.44,15.29,20260401,eod_proxy,False
1,主票,300055.SZ,万邦达,1,12.2,8.0602,石油加工,75.657895,tail_profit_v1,2.480981147407805,1.9575324434178778,59.41804655607171,75.657895,85.0,0.0,64.00679763432234,84.39923408329344,75.2066115702479,2.459016393442637,1.6949152542373058,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、风险低,20260403,0.0,True,12.1,12.15,11.21,11.18,14.64,-0.8196721311475419,-0.4098360655737654,-8.114754098360644,-8.360655737704914,12.1,12.15,11.21,11.18,14.64,20260402,eod_proxy,False
