rank,ts_code,name,trade_date,update_time,price,pct_chg,amount,pre_day_limitup,today_limitup,sector_name,sector_strength_score,stock_strength_score,acceptance_score,momentum_score,capital_score,pattern_score,liquidity_score,risk_penalty_score,ranking_score,p_limitup_t1_raw,p_limitup_t1,wp_score,feature_coverage,model_confidence,model_version,calibration_method,calibration_sample_count,self_learning_adjustment,signal_level,core_reason,risk_reason,next_trade_date,label_t1_limitup,label_available,next_day_open,next_day_high,next_day_close,next_day_low,next_day_limitup_price,next_day_open_pct,next_day_max_pct,next_day_close_pct,next_day_drawdown_pct,next_open,next_high,next_close,next_low,next_up_limit,backtest_trade_date,backtest_data_mode,calibration_eligible
1,001309.SZ,德明利,20260313,2026-03-13,320.05,9.046,6929269536.0,0,0,半导体,35.35719192161916,69.02510991289921,100.0,82.82413716169121,89.7671514517119,98.0410548034944,100.0,0.0,83.844391013066,3.649482754161018,3.649482754161018,70.02461665622559,94.73684210526315,82.89473684210526,wp_rule_v2_1,disabled,0,0.0,B级,承接好、动量上、量价齐,风险可控,20260316,1.0,True,318.0,352.06,352.06,309.51,352.06,-0.6405249179815664,10.001562255897522,10.001562255897522,-3.293235431963759,318.0,352.06,352.06,309.51,352.06,20260313,eod_proxy,False
2,300505.SZ,川金诺,20260313,2026-03-13,38.9,14.817,3994203318.0,0,0,农药化肥,45.49817547067187,88.72955492488308,64.28480040448746,97.56462693641707,85.45302501343868,89.6315303191871,100.0,15.738807177092305,80.07834992040458,3.2546867534236954,3.2546867534236954,67.53744136999168,100.0,81.06529820572692,wp_rule_v2_1,disabled,0,0.0,B级,个股强、动量上、量价齐,回落大,20260316,0.0,True,37.62,40.98,36.33,36.0,46.68,-3.2904884318766148,5.347043701799481,-6.606683804627256,-7.455012853470433,37.62,40.98,36.33,36.0,46.68,20260313,eod_proxy,False
3,300677.SZ,英科医疗,20260313,2026-03-13,61.79,17.6952,2222011354.0,0,0,医疗保健,34.97329849828577,96.3860985945814,100.0,74.66381778990132,74.21037994266743,88.34668404574842,76.36098594581401,24.53005912618722,72.27549197750577,2.403067139618222,2.403067139618222,67.76075339212858,100.0,78.8674852184532,wp_rule_v2_1,disabled,0,0.0,C级,个股强、承接好、动量上,风险可控,20260316,0.0,True,61.2,61.47,58.3,57.7,74.15,-0.954847062631492,-0.5178831526136962,-5.648163133193074,-6.619194044343734,61.2,61.47,58.3,57.7,74.15,20260313,eod_proxy,False
4,688519.SH,南亚新材,20260313,2026-03-13,133.0,12.3121,1039732944.0,0,0,元器件,31.364017760514866,65.96832425080575,59.9193895775139,90.4516413512074,65.9057992854575,77.73303570119022,39.89700615765078,32.60277445000157,60.911119462595536,1.5231935211264451,1.5231935211264451,49.25686654258429,94.73684210526315,74.74404322960487,wp_rule_v2_1,disabled,0,0.0,D级,动量上、量价齐、新高,回落大,20260316,0.0,True,129.1,140.5,139.06,122.23,159.6,-2.932330827067675,5.63909774436091,4.556390977443603,-8.097744360902247,129.1,140.5,139.06,122.23,159.6,20260313,eod_proxy,False
5,300936.SZ,中英科技,20260313,2026-03-13,59.97,11.4891,716899452.0,0,0,元器件,31.364017760514866,67.91997111735634,79.99004412563698,85.4630774173345,58.76551175344307,90.64042424297386,22.04628732761468,5.56166722414467,59.121359304153515,1.4218276137075745,1.4218276137075745,59.95167025581123,94.73684210526315,81.50432003606909,wp_rule_v2_1,disabled,0,0.0,D级,承接好、动量上、量价齐,回落大,20260316,0.0,True,59.28,69.98,65.62,58.6,71.96,-1.150575287643818,16.691679172919805,9.42137735534434,-2.2844755711188935,59.28,69.98,65.62,58.6,71.96,20260313,eod_proxy,False
6,300641.SZ,正丹股份,20260313,2026-03-13,22.34,8.7634,1424800875.0,0,0,化工原料,90.36618392613876,37.011166366872914,35.298873619081974,84.71693264018353,57.89789678152564,65.58612104093561,55.024606391005584,38.103025020025456,55.959764016844225,1.265797210699581,1.265797210699581,51.43745423258759,100.0,75.47424374499363,wp_rule_v2_1,disabled,0,0.0,D级,板块强、动量上、新高,回落大、后排,20260316,0.0,True,22.39,23.15,22.53,21.57,26.81,0.22381378692928333,3.6257833482542523,0.8504923903312589,-3.4467323187108323,22.39,23.15,22.53,21.57,26.81,20260313,eod_proxy,False
7,300436.SZ,广生堂,20260313,2026-03-13,111.17,8.7237,1581745637.0,0,0,化学制药,19.833333333333332,39.494988096610996,42.263265517942585,52.75365900664828,61.51675920317099,63.06756327043668,60.041898007927465,27.083333668976305,52.687527450719976,1.1094329453198,1.1094329453198,32.085986695000955,94.73684210526315,76.12390342486118,wp_rule_v2_1,disabled,0,0.0,D级,基础入选,回落大,20260316,0.0,True,110.0,119.6,115.0,110.0,133.4,-1.0524422056310212,7.582981020059365,3.4451740577494006,-1.0524422056310212,110.0,119.6,115.0,110.0,133.4,20260313,eod_proxy,False
8,300143.SZ,盈康生命,20260313,2026-03-13,13.38,12.5315,780157000.0,0,0,医疗保健,34.97329849828577,76.80780707655737,98.25436255255288,93.35470404781665,45.292514385392074,98.56876649663916,26.10630897894639,0.0,52.14615226896099,1.0886627477925968,1.0886627477925968,68.13797399728847,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,D级,个股强、承接好、动量上,风险可控,20260316,0.0,True,13.02,13.45,12.85,12.78,16.06,-2.6905829596412634,0.523168908819116,-3.9611360239163007,-4.484304932735439,13.02,13.45,12.85,12.78,16.06,20260313,eod_proxy,False
9,300720.SZ,海川智能,20260313,2026-03-13,49.18,14.6922,889209871.0,0,0,电器仪表,16.195732530793027,83.38779953019065,83.37358174504121,89.68716632781683,50.45533405492377,83.99971731113362,32.38833513730941,26.88562101525111,51.480698830690166,1.058899398535899,1.058899398535899,53.87321664081178,94.73684210526315,76.17333158829248,wp_rule_v2_1,disabled,0,0.0,D级,个股强、承接好、动量上,回落大,20260316,0.0,True,48.0,49.96,49.15,47.6,59.02,-2.399349328995526,1.5860105734038177,-0.061000406669375895,-3.212688084587223,48.0,49.96,49.15,47.6,59.02,20260313,eod_proxy,False
10,688325.SH,赛微微电,20260313,2026-03-13,122.19,8.3245,488478349.0,0,0,半导体,35.35719192161916,43.57964268390549,60.89727496476226,82.28355906051775,51.21766181124522,82.1462688675277,3.6262758988333297,17.262225018414018,49.89938402278077,0.9961174548140947,0.9961174548140947,46.82340251636374,94.73684210526315,78.57918058750175,wp_rule_v2_1,disabled,0,0.0,D级,动量上、量价齐、新高,回落大,20260316,0.0,True,119.99,131.47,131.06,119.0,146.63,-1.800474670594976,7.594729519600629,7.259186512807925,-2.6106882723627156,119.99,131.47,131.06,119.0,146.63,20260313,eod_proxy,False
11,300569.SZ,天能重工,20260313,2026-03-13,7.79,10.4965,1556159562.0,0,0,电气设备,93.66992424855677,39.725140863087496,25.07221825641528,86.98592954316257,50.05568451324561,59.928207408374,59.25888499953164,42.096529983096225,49.805922785844146,0.9923437046547289,0.9923437046547289,49.22314542190742,100.0,74.47586750422595,wp_rule_v2_1,disabled,0,0.0,D级,板块强、动量上、新高,回落大、后排,20260316,0.0,True,7.79,8.95,8.34,7.73,9.35,0.0,14.890885750962756,7.06033376123234,-0.7702182284980652,7.79,8.95,8.34,7.73,9.35,20260313,eod_proxy,False
12,300035.SZ,中科电气,20260313,2026-03-13,22.89,13.3168,3156968389.0,0,0,电气设备,93.66992424855677,47.842888791796774,10.459462199613537,92.05756919309039,54.789352501533095,59.71655606289272,93.22338125383273,88.00825393874322,49.6991612711812,0.988156762183409,0.988156762183409,37.82204840036011,100.0,62.997936515314194,wp_rule_v2_1,disabled,0,0.0,D级,板块强、动量上、新高,风险高、放量急、爆量,20260316,0.0,True,23.15,23.27,22.27,22.09,27.47,1.1358671909130535,1.660113586719092,-2.7086063783311576,-3.494975972040193,23.15,23.27,22.27,22.09,27.47,20260313,eod_proxy,False
13,688689.SH,银河微电,20260313,2026-03-13,37.09,10.6504,445413854.0,0,0,半导体,35.35719192161916,46.82672757528679,37.347566090121155,89.09417500639142,49.46084714092554,68.51597415658563,0.0,36.861461337638595,45.97737948159278,0.8558680197501419,0.8558680197501419,37.84928827648301,94.73684210526315,73.6793715076956,wp_rule_v2_1,disabled,0,0.0,D级,动量上、新高、破平台,回落大,20260316,0.0,True,35.99,38.48,38.04,35.99,44.51,-2.9657589646805094,3.747640873550795,2.5613372876786,-2.9657589646805094,35.99,38.48,38.04,35.99,44.51,20260313,eod_proxy,False
14,688131.SH,皓元医药,20260313,2026-03-13,65.85,9.0954,464479574.0,0,0,化学制药,19.833333333333332,52.920479387692815,98.93885949930126,58.36696507552283,37.982984283847586,91.79312064680549,1.2074607096189582,0.0,42.54585181321154,0.7493303883764674,0.7493303883764674,53.192542715060775,94.73684210526315,82.89473684210526,wp_rule_v2_1,disabled,0,0.0,D级,承接好、量价齐、均价上,风险可控,20260316,0.0,True,65.36,67.72,66.47,64.6,79.02,-0.7441154138192796,2.8397873955960495,0.941533788914195,-1.8982536066818545,65.36,67.72,66.47,64.6,79.02,20260313,eod_proxy,False
15,920159.BJ,农大科技,20260313,2026-03-13,51.0,12.5083,382478520.0,0,0,农药化肥,45.49817547067187,57.50762754043965,27.0,94.05196518250166,41.24903621007969,71.72240249446241,0.0,46.496760339495815,40.54984225868141,0.6873899005812006,0.6873899005812006,38.918389705418775,100.0,73.37580991512604,wp_rule_v2_1,disabled,0,0.0,D级,动量上、新高、破平台,回落大,20260316,0.0,True,51.0,55.2,48.07,47.75,66.3,0.0,8.235294117647074,-5.745098039215691,-6.372549019607843,51.0,55.2,48.07,47.75,66.3,20260313,eod_proxy,False
1,688525.SH,佰维存储,20260316,2026-03-16,237.7,13.3524,11893754457.0,0,0,半导体,73.95515290937234,98.75,100.0,88.10508002959217,95.0,98.97568189202184,100.0,11.597484276729563,92.67019007035688,5.273436389099284,5.273436389099284,87.23396690118962,100.0,82.1006289308176,wp_rule_v2_1,disabled,0,0.0,S级,板块强、个股强、承接好,风险可控,20260317,0.0,True,232.95,243.33,235.78,232.2,285.24,-1.998317206562894,2.3685317627261337,-0.8077408498106786,-2.3138409760201983,232.95,243.33,235.78,232.2,285.24,20260316,eod_proxy,False
2,300223.SZ,北京君正,20260316,2026-03-16,129.9,9.0222,5969873108.0,0,0,半导体,73.95515290937234,69.55696836203444,98.95268234174807,75.99739676135859,95.0,98.0,100.0,0.0,90.90981923234173,4.932566239450484,4.932566239450484,81.36606410780578,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,A级,板块强、承接好、动量上,风险可控,20260317,0.0,True,128.95,131.56,124.36,123.83,155.88,-0.7313317936874619,1.2779060816012322,-4.2648190916089295,-4.672825250192458,128.95,131.56,124.36,123.83,155.88,20260316,eod_proxy,False
3,688347.SH,华虹公司,20260316,2026-03-16,133.65,12.1978,4903906613.0,0,0,半导体,73.95515290937234,84.37496033551069,67.53707458746695,94.69074702951158,95.0,87.88089978996686,100.0,8.898098980920393,89.87788874642065,4.74256789057596,4.74256789057596,77.92629582140216,100.0,82.7754752547699,wp_rule_v2_1,disabled,0,0.0,A级,板块强、个股强、承接好,回落大,20260317,0.0,True,129.99,132.39,126.78,125.25,160.38,-2.7384960718293994,-0.9427609427609562,-5.140291806958475,-6.2850729517396235,129.99,132.39,126.78,125.25,160.38,20260316,eod_proxy,False
4,300672.SZ,国科微,20260316,2026-03-16,178.78,11.1885,4322539655.0,0,0,半导体,73.95515290937234,74.44679779403512,60.23006105392301,80.39759849549158,93.38956448502213,81.00222776110434,95.97391121255535,4.888466271395025,87.28798573462436,4.295898518016472,4.295898518016472,73.0509686503629,100.0,83.77788343215124,wp_rule_v2_1,disabled,0,0.0,A级,板块强、个股强、动量上,回落大,20260317,0.0,True,175.0,182.73,177.0,174.08,214.54,-2.114330462020364,2.2094193981429644,-0.9956370958720262,-2.6289294104485883,175.0,182.73,177.0,174.08,214.54,20260316,eod_proxy,False
5,002837.SZ,英维克,20260316,2026-03-16,105.08,8.0848,6464583143.0,0,0,专用机械,31.316863357307323,62.5,100.0,67.09658543354624,90.63502479916079,95.0,100.0,0.0,83.10748336855141,3.5496289838291823,3.5496289838291823,65.5432200304629,94.73684210526315,82.89473684210526,wp_rule_v2_1,disabled,0,0.0,B级,承接好、动量上、量价齐,风险可控,20260317,0.0,True,107.0,107.5,101.28,100.0,115.59,1.8271792919680285,2.3030072325846973,-3.6162923486867116,-4.834411876665401,107.0,107.5,101.28,100.0,115.59,20260316,eod_proxy,False
6,600367.SH,红星发展,20260316,2026-03-16,26.81,8.1048,2701765062.0,0,0,化工原料,54.69616890242118,59.05885237645695,67.50383910631443,83.12466861095758,84.63898458021094,85.43564566973586,80.98044290381658,3.650182196772505,78.69026929800185,3.0843230855318344,3.0843230855318344,64.809933639514,100.0,84.08745445080687,wp_rule_v2_1,disabled,0,0.0,B级,承接好、动量上、量价齐,风险可控,20260317,0.0,True,26.81,29.0,28.64,26.73,29.49,0.0,8.1685938082805,6.825811264453563,-0.29839612085041933,26.81,29.0,28.64,26.73,29.49,20260316,eod_proxy,False
7,688766.SH,普冉股份,20260316,2026-03-16,264.22,8.2869,1922146011.0,0,0,半导体,73.95515290937234,47.79402900255501,62.67547846948688,71.89167920533512,83.04715868034074,79.88102083751279,70.11789670085184,1.0295965483309626,77.903216429451,2.9915942491980987,2.9915942491980987,65.90068451070832,100.0,84.74260086291726,wp_rule_v2_1,disabled,0,0.0,C级,板块强、动量上、量价齐,回落大,20260317,0.0,True,260.0,263.97,260.46,251.1,317.06,-1.597153886912428,-0.09461812126257962,-1.4230565437892806,-4.965559003860431,260.0,263.97,260.46,251.1,317.06,20260316,eod_proxy,False
8,301389.SZ,隆扬电子,20260316,2026-03-16,59.0,8.8159,1326308011.0,0,0,元器件,94.13956980565061,61.274504080461206,71.49569485757632,81.46356460121217,77.5329857174813,92.14496478254091,58.27968528973469,0.0,77.78305176353355,2.977676538132827,2.977676538132827,78.36653920432214,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,C级,板块强、承接好、动量上,风险可控,20260317,0.0,True,59.28,61.49,56.21,56.21,70.8,0.4745762711864332,4.220338983050853,-4.728813559322031,-4.728813559322031,59.28,61.49,56.21,56.21,70.8,20260316,eod_proxy,False
9,300964.SZ,本川智能,20260316,2026-03-16,70.99,12.6468,793826216.0,0,0,元器件,94.13956980565061,86.00101898973078,79.71264390642051,99.49173133921931,70.9823359317705,93.98704536012747,41.90306082545773,0.0,75.91705919189455,2.7694465950429974,2.7694465950429974,87.43141346551734,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,C级,板块强、个股强、承接好,风险可控,20260317,0.0,True,70.0,70.33,66.99,66.5,85.19,-1.3945626144527323,-0.9297084096351549,-5.634596422031269,-6.324834483730091,70.0,70.33,66.99,66.5,85.19,20260316,eod_proxy,False
10,688700.SH,东威科技,20260316,2026-03-16,53.89,11.7586,1637877876.0,0,0,专用机械,31.316863357307323,88.07272839560842,100.0,73.30569631263197,76.63972826278527,86.17871423558542,65.01175865906119,0.0,74.86282556657427,2.5978576447254027,2.5978576447254027,70.7167192754153,94.73684210526315,82.89473684210526,wp_rule_v2_1,disabled,0,0.0,C级,个股强、承接好、动量上,风险可控,20260317,0.0,True,51.94,54.52,50.8,50.5,64.67,-3.6184820931527195,1.1690480608647302,-5.733902393765078,-6.2905919465578,51.94,54.52,50.8,50.5,64.67,20260316,eod_proxy,False
11,688172.SH,燕东微,20260316,2026-03-16,44.0,8.4813,1128155883.0,0,0,半导体,73.95515290937234,49.361682929794746,66.75347110783375,79.34507746309494,76.24677943089961,81.34691286124979,53.11694857724901,1.7727272727272751,73.49104870396191,2.519779969361564,2.519779969361564,67.06101034110728,100.0,84.55681818181819,wp_rule_v2_1,disabled,0,0.0,C级,板块强、承接好、动量上,回落大,20260317,0.0,True,43.14,44.99,42.45,42.33,52.8,-1.9545454545454533,2.2499999999999964,-3.5227272727272663,-3.7954545454545463,43.14,44.99,42.45,42.33,52.8,20260316,eod_proxy,False
12,688416.SH,恒烁股份,20260316,2026-03-16,98.8,9.5344,748213978.0,0,0,半导体,73.95515290937234,62.35874775831333,89.85167560164405,77.71167526738523,71.00602067465425,92.22688129740129,40.01505168663564,0.0,72.27311894979583,2.4028445293186884,2.4028445293186884,75.22968159179287,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,C级,板块强、承接好、动量上,风险可控,20260317,0.0,True,100.0,103.0,95.8,95.8,118.56,1.2145748987854255,4.251012145748989,-3.0364372469635637,-3.0364372469635637,100.0,103.0,95.8,95.8,118.56,20260316,eod_proxy,False
