buy_rank,portfolio_group,ts_code,name,rank,price,pct_chg,sector_name,p_limitup_t1,wp_score,decision_score,model_confidence,risk_penalty_score,acceptance_score,momentum_score,close_position,intraday_pullback_pct,intraday_vwap_position,confirm_before_buy,reject_if,buy_reason,next_trade_date,label_t1_limitup,label_available,next_day_open,next_day_high,next_day_close,next_day_low,next_day_limitup_price,next_day_open_pct,next_day_max_pct,next_day_close_pct,next_day_drawdown_pct,next_open,next_high,next_close,next_low,next_up_limit,backtest_trade_date,backtest_data_mode,calibration_eligible
1,核心,002371.SZ,北方华创,1,516.25,9.213,半导体,5.104327350798331,84.36920206103974,75.27410131892464,85.0,0.0,95.91503466679421,86.63642216874513,91.69321802457902,0.7070217917675592,2.4231041392491326,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260428,0.0,True,511.54,537.25,517.21,504.0,567.88,-0.9123486682808712,4.067796610169494,0.18595641646490524,-2.3728813559321993,511.54,537.25,517.21,504.0,567.88,20260427,eod_proxy,False
2,核心,688037.SH,芯源微,4,212.0,17.8105,半导体,4.772393640176629,89.12408693667045,74.84387392870583,84.4366770023585,2.253291990566042,90.23861499378062,97.60439884603386,88.98518311434164,1.8584905660377293,4.5863412869382,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260428,0.0,True,206.0,213.0,201.5,197.0,254.4,-2.8301886792452824,0.4716981132075526,-4.952830188679247,-7.075471698113212,206.0,213.0,201.5,197.0,254.4,20260427,eod_proxy,False
3,标准,002475.SZ,立讯精密,3,71.97,9.0455,元器件,4.909114041875463,82.7201333280272,72.78762611260481,83.55898043864849,5.7640782454060515,89.37429604962544,84.56491410062627,87.64705882352949,0.8753647353063609,1.8107228745225745,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260428,0.0,True,71.02,72.4,69.88,68.95,79.17,-1.3199944421286691,0.5974711685424516,-2.90398777268307,-4.196192858135328,71.02,72.4,69.88,68.95,79.17,20260427,eod_proxy,False
4,标准,688183.SH,生益电子,10,120.7,9.5083,元器件,3.9465516491063743,77.66876635199733,66.35244589053444,82.07932573128409,11.682697074863661,79.15835229149862,84.90890450572394,81.26858275520317,1.565865782932896,1.773518086511694,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260428,0.0,True,120.0,120.1,115.9,114.0,144.84,-0.5799502899751507,-0.4971002485501308,-3.976801988400991,-5.550952775476392,120.0,120.1,115.9,114.0,144.84,20260427,eod_proxy,False
5,标准,300570.SZ,太辰光,9,149.82,11.7226,通信设备,4.18438200659209,73.64462277333064,66.0074603626648,82.89473684210526,0.0,96.39257980743021,88.14807262194495,94.63601532567047,0.560672807368845,3.2102507577845163,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260428,0.0,True,149.0,152.32,142.62,140.9,179.78,-0.5473234548124317,1.6686690695501216,-4.805766920304356,-5.953811240154849,149.0,152.32,142.62,140.9,179.78,20260427,eod_proxy,False
1,核心,301217.SZ,铜冠铜箔,1,59.15,15.2797,元器件,4.131670286219203,65.90215987293205,54.63816324387885,78.61152224567633,25.553911017294713,62.224765941318225,84.31366790393848,73.78114842903572,4.09129332206255,2.536692476597713,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强均价、低风险,20260429,1.0,True,57.97,70.98,70.98,57.89,70.98,-1.9949281487742998,20.000000000000018,20.000000000000018,-2.130177514792897,57.97,70.98,70.98,57.89,70.98,20260428,eod_proxy,False
1,核心,688390.SH,固德威,2,101.63,15.0963,电气设备,4.706889477823,93.63128508366299,77.92884545174688,85.0,0.0,94.18331899364523,97.8058073933355,91.10966904607395,1.3480271573354408,4.335774416535476,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260430,0.0,True,100.51,109.99,108.2,100.1,121.96,-1.1020368001574243,8.22591754403228,6.4646265866378005,-1.5054609859293522,100.51,109.99,108.2,100.1,121.96,20260429,eod_proxy,False
2,核心,002738.SZ,中矿资源,3,91.3,9.3282,小金属,4.487487511030135,85.88899149257858,74.81294806979908,85.0,0.0,100.0,87.37028943534656,98.79518072289146,0.10952902519167917,3.0474040632054056,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260430,0.0,True,90.29,94.5,90.79,89.75,100.43,-1.1062431544359153,3.5049288061336226,-0.5585980284775416,-1.6976998904709717,90.29,94.5,90.79,89.75,100.43,20260429,eod_proxy,False
3,标准,688005.SH,容百科技,8,38.5,8.4202,电气设备,4.053034966051152,86.19724275551941,74.22374698870422,84.82033180374161,0.7186727850335388,100.0,83.03786200676787,95.59585492227974,0.4415584415584428,3.143418467583503,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260430,0.0,True,36.57,36.7,34.83,34.17,46.2,-5.012987012987013,-4.675324675324665,-9.532467532467537,-11.246753246753238,36.57,36.7,34.83,34.17,46.2,20260429,eod_proxy,False
4,标准,600549.SH,厦门钨业,7,59.47,8.1863,小金属,4.174636766068927,76.72695705729859,67.12297354884909,85.0,0.0,95.31196624791917,41.56937763542077,93.265306122449,0.5549016310744781,2.434403169317334,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260430,0.0,True,58.5,60.07,57.78,57.4,65.42,-1.6310744913401676,1.0089120564990672,-2.841768959139057,-3.480746594921813,58.5,60.07,57.78,57.4,65.42,20260429,eod_proxy,False
