rank,ts_code,name,trade_date,update_time,price,pct_chg,amount,pre_day_limitup,today_limitup,sector_name,sector_strength_score,stock_strength_score,acceptance_score,momentum_score,capital_score,pattern_score,liquidity_score,risk_penalty_score,ranking_score,p_limitup_t1_raw,p_limitup_t1,wp_score,feature_coverage,model_confidence,model_version,calibration_method,calibration_sample_count,self_learning_adjustment,signal_level,core_reason,risk_reason,next_trade_date,label_t1_limitup,label_available,next_day_high,next_day_close,next_day_low,next_day_limitup_price,next_day_max_pct,next_day_close_pct,next_day_drawdown_pct,next_high,next_close,next_low,next_up_limit,backtest_trade_date,backtest_data_mode,calibration_eligible
1,002371.SZ,北方华创,20260427,2026-04-27,516.25,9.213,10278053349.0,0,0,半导体,81.512987012987,70.2746272276412,95.91503466679421,86.63642216874513,95.0,100.0,100.0,0.0,91.81076061831192,5.104327350798331,5.104327350798331,84.36920206103974,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,S级,板块强、个股强、承接好,风险可控,20260428,0.0,True,537.25,517.21,504.0,567.88,4.067796610169494,0.18595641646490524,-2.3728813559321993,537.25,517.21,504.0,567.88,20260427,eod_proxy,False
2,688012.SH,中微公司,20260427,2026-04-27,352.01,8.8534,8951169136.0,0,0,半导体,81.512987012987,68.0713829076938,94.47726318436993,85.36993198351324,95.0,99.81627731841238,100.0,0.0,91.51850045958965,5.047997813181946,5.047997813181946,83.39500153196548,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,S级,板块强、承接好、动量上,风险可控,20260428,0.0,True,373.11,362.27,353.01,422.41,5.99414789352577,2.9146899235817036,0.2840828385557215,373.11,362.27,353.01,422.41,20260427,eod_proxy,False
3,002475.SZ,立讯精密,20260427,2026-04-27,71.97,9.0455,23372375964.0,0,0,元器件,89.27598499570077,67.17652342645306,89.37429604962544,84.56491410062627,94.24066455823886,96.57618916487236,100.0,5.7640782454060515,90.78450518917536,4.909114041875463,4.909114041875463,82.7201333280272,100.0,83.55898043864849,wp_rule_v2_1,disabled,0,0.0,A级,板块强、承接好、动量上,风险可控,20260428,0.0,True,72.4,69.88,68.95,79.17,0.5974711685424516,-2.90398777268307,-4.196192858135328,72.4,69.88,68.95,79.17,20260427,eod_proxy,False
4,688037.SH,芯源微,20260427,2026-04-27,212.0,17.8105,3349889650.0,0,0,半导体,81.512987012987,94.29918835872371,90.23861499378062,97.60439884603386,90.43603266984528,96.13901180781754,88.59008167461317,2.253291990566042,90.04244894989283,4.772393640176629,4.772393640176629,89.12408693667045,100.0,84.4366770023585,wp_rule_v2_1,disabled,0,0.0,A级,板块强、个股强、承接好,风险可控,20260428,0.0,True,213.0,201.5,197.0,254.4,0.4716981132075526,-4.952830188679247,-7.075471698113212,213.0,201.5,197.0,254.4,20260427,eod_proxy,False
5,300604.SZ,长川科技,20260427,2026-04-27,175.02,10.7722,7359775162.0,0,0,半导体,81.512987012987,70.9452264939898,75.64249530406406,85.65156532158925,95.0,89.72329118957416,100.0,5.750913965391175,90.02968831654886,4.770074478148553,4.770074478148553,78.4322943884962,100.0,83.5622715086522,wp_rule_v2_1,disabled,0,0.0,A级,板块强、个股强、承接好,风险可控,20260428,0.0,True,188.0,179.31,173.99,210.02,7.416295280539353,2.4511484401782635,-0.5885041709518868,188.0,179.31,173.99,210.02,20260427,eod_proxy,False
6,688008.SH,澜起科技,20260427,2026-04-27,178.09,8.9235,14577855792.0,0,0,半导体,81.512987012987,58.55493860448975,68.04587925787018,84.53306304309322,95.0,80.70544113852961,100.0,0.0,88.90711549034852,4.570194332471745,4.570194332471745,74.69038496782838,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,A级,板块强、承接好、动量上,风险可控,20260428,0.0,True,177.37,173.61,170.02,213.71,-0.40428996574765064,-2.5155820090965175,-4.5314166994216425,177.37,173.61,170.02,213.71,20260427,eod_proxy,False
7,688110.SH,东芯股份,20260427,2026-04-27,132.94,12.3278,4106020965.0,0,0,半导体,81.512987012987,72.0028535129371,63.017326244059305,92.89984593370816,93.31250329883247,83.27248564427481,95.78125824708117,0.0,88.67163249010574,4.529288936363592,4.529288936363592,77.84293393641005,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,A级,板块强、个股强、动量上,风险可控,20260428,0.0,True,135.88,131.75,130.39,159.53,2.2115239957875676,-0.8951406649616356,-1.9181585677749413,135.88,131.75,130.39,159.53,20260427,eod_proxy,False
8,300136.SZ,信维通信,20260427,2026-04-27,88.46,8.8069,12069296650.0,0,0,元器件,89.27598499570077,57.62818908827705,62.8392907279535,81.22745848318885,93.57399789157219,85.55122651324652,100.0,5.102125619306372,87.77376146650514,4.376499565117213,4.376499565117213,74.23987647468202,100.0,83.7244685951734,wp_rule_v2_1,disabled,0,0.0,A级,板块强、动量上、量价齐,风险可控,20260428,0.0,True,90.97,87.49,85.6,106.15,2.837440651141776,-1.0965408094053775,-3.2330997060818434,90.97,87.49,85.6,106.15,20260427,eod_proxy,False
9,300570.SZ,太辰光,20260427,2026-04-27,149.82,11.7226,6113228916.0,0,0,通信设备,38.05634924740153,79.68133392802231,96.39257980743021,88.14807262194495,93.42263632968199,97.43595320911736,100.0,0.0,87.48923226277657,4.18438200659209,4.18438200659209,73.64462277333064,94.73684210526315,82.89473684210526,wp_rule_v2_1,disabled,0,0.0,A级,个股强、承接好、动量上,风险可控,20260428,0.0,True,152.32,142.62,140.9,179.78,1.6686690695501216,-4.805766920304356,-5.953811240154849,152.32,142.62,140.9,179.78,20260427,eod_proxy,False
10,688183.SH,生益电子,20260427,2026-04-27,120.7,9.5083,3028481383.0,0,0,元器件,89.27598499570077,64.11427103791526,79.15835229149862,84.90890450572394,88.2511450399154,92.60803899321085,85.02620120419134,11.682697074863661,85.07643143353998,3.9465516491063743,3.9465516491063743,77.66876635199733,100.0,82.07932573128409,wp_rule_v2_1,disabled,0,0.0,B级,板块强、承接好、动量上,风险可控,20260428,0.0,True,120.1,115.9,114.0,144.84,-0.4971002485501308,-3.976801988400991,-5.550952775476392,120.1,115.9,114.0,144.84,20260427,eod_proxy,False
