rank,ts_code,name,trade_date,update_time,price,pct_chg,pre_day_limitup,today_limitup,sector_name,sector_strength_score,stock_strength_score,acceptance_score,momentum_score,capital_score,risk_penalty_score,p_limitup_t1,wp_score,model_confidence,signal_level,core_reason,risk_reason,next_trade_date,label_t1_limitup,next_day_high,next_day_close,next_day_low,next_day_limitup_price,next_day_max_pct,next_day_close_pct,next_day_drawdown_pct,next_high,next_close,next_low,next_up_limit,backtest_trade_date
1,688321.SH,微芯生物,20260701,2026-07-01,28.46,8.0896,0,0,化学制药,100.0,100.0,93.50292793537545,100.0,100.0,0.0,78.70043257913883,98.7005855870751,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,29.5,28.36,28.11,34.15,3.6542515811665455,-0.35137034434293835,-1.2297962052002842,29.5,28.36,28.11,34.15,20260701
2,002422.SZ,科伦药业,20260701,2026-07-01,41.95,8.9045,0,0,化学制药,100.0,100.0,91.71492790361776,100.0,100.0,0.0,78.69863369263749,98.34298558072355,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,45.68,44.75,41.01,46.15,8.89153754469605,6.674612634088195,-2.2407628128724766,45.68,44.75,41.01,46.15,20260701
3,300199.SZ,翰宇药业,20260701,2026-07-01,23.93,8.3786,0,0,化学制药,100.0,100.0,92.00214294678928,99.3953230392764,100.0,0.0,78.69859415542334,98.33996089328551,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,25.2,23.1,22.92,28.72,5.307145842039285,-3.4684496447973223,-4.220643543669023,25.2,23.1,22.92,28.72,20260701
4,920735.BJ,德源药业,20260701,2026-07-01,25.8,8.1308,0,0,化学制药,100.0,100.0,94.22488811969475,89.13098782499986,100.0,0.0,78.69503824818298,97.75807640643893,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,26.94,25.95,25.38,33.54,4.418604651162794,0.5813953488372103,-1.6279069767441978,26.94,25.95,25.38,33.54,20260701
5,688373.SH,盟科药业,20260701,2026-07-01,4.93,8.83,0,0,化学制药,100.0,100.0,88.28193369939295,100.0,100.0,0.0,78.69493659787801,97.6563867398786,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,5.17,4.98,4.89,5.92,4.868154158215021,1.014198782961473,-0.8113590263691739,5.17,4.98,4.89,5.92,20260701
6,002294.SZ,信立泰,20260701,2026-07-01,34.2,7.2437,0,0,化学制药,100.0,100.0,89.84485827201247,90.78443421825021,100.0,0.0,78.69093617696771,97.04741507622751,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,36.84,36.44,34.26,37.62,7.719298245614037,6.549707602339172,0.1754385964912064,36.84,36.44,34.26,37.62,20260701
7,300723.SZ,一品红,20260701,2026-07-01,40.42,8.4227,0,0,化学制药,100.0,100.0,84.85891811492634,100.0,100.0,0.0,78.68841773693605,96.65134274122174,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,41.76,39.68,39.2,48.5,3.315190499752596,-1.830776843146964,-3.018307768431472,41.76,39.68,39.2,48.5,20260701
8,002773.SZ,康弘药业,20260701,2026-07-01,22.1,8.0685,0,0,化学制药,100.0,100.0,83.90868312171929,90.75890853160062,100.0,0.0,78.68302508800707,95.85762747750393,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,22.7,21.9,21.9,24.31,2.714932126696823,-0.9049773755656187,-0.9049773755656187,22.7,21.9,21.9,24.31,20260701
9,002755.SZ,奥赛康,20260701,2026-07-01,14.52,6.6079,0,0,化学制药,100.0,99.45324637357886,80.72480163096743,97.16281026094589,100.0,0.0,78.68255756511788,95.72455294568279,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,15.1,14.59,14.41,15.97,3.994490358126712,0.4820936639118534,-0.7575757575757569,15.1,14.59,14.41,15.97,20260701
10,688176.SH,亚虹医药,20260701,2026-07-01,11.19,12.8024,0,0,化学制药,100.0,100.0,77.2877377429644,100.0,100.0,0.0,78.6806134838384,95.45754754859288,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,11.43,11.03,10.97,13.43,2.144772117962468,-1.429848078641649,-1.9660411081322549,11.43,11.03,10.97,13.43,20260701
11,301089.SZ,拓新药业,20260701,2026-07-01,22.65,10.9207,0,0,化学制药,100.0,100.0,100.0,66.52972710773909,100.0,0.0,78.68001345733109,95.82610703913211,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,23.4,22.7,22.43,27.18,3.31125827814569,0.22075055187638082,-0.9713024282560712,23.4,22.7,22.43,27.18,20260701
12,688799.SH,华纳药厂,20260701,2026-07-01,50.8,13.672,0,0,化学制药,100.0,100.0,82.4864787194079,100.0,100.0,4.365548976377959,78.67958920243026,95.40590849978709,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,53.0,50.5,49.3,60.96,4.330708661417337,-0.5905511811023612,-2.952755905511806,53.0,50.5,49.3,60.96,20260701
13,920478.BJ,峆一药业,20260701,2026-07-01,10.45,15.9822,0,0,化学制药,100.0,100.0,94.58869476446816,100.0,100.0,12.442324363636327,78.67657467495674,95.29392514165185,96.88428736969699,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,冲高回落幅度偏大，历史校准对概率有负向修正。,20260702,0,11.5,10.7,10.1,13.58,10.047846889952151,2.392344497607657,-3.349282296650713,11.5,10.7,10.1,13.58,20260701
