trade_date,raw_count,candidate_count,top_count,hit_top10,hit_top20,hit_top50,next_trade_date
20260701,5511,310,50,0.0,0.05,0.06,20260702
20260702,5517,68,50,0.1,0.1,0.04,20260703
20260703,5516,233,50,0.0,0.0,0.02,20260706
20260706,5517,99,50,0.0,0.0,0.0,20260707
