observation_trade_date,quality_rank,previous_quality_rank,rank_change,observation_status,qualification_status,qualification_reason,invalid_count,qualified_runs,leader_runs,entry_order,first_seen,last_seen,ts_code,name,price,pct_chg,sector_name,limit_rule_pct,tail_profit_score,peak_tail_profit_score,risk_penalty_score,amount_ratio_5d,p_limitup_t1,wp_score,model_confidence,confirm_before_buy,reject_if,buy_reason,forecast_model_version,forecast_mode,forecast_warning,forecast_sample_count,forecast_live_sample_count,forecast_proxy_sample_count,forecast_effective_sample_count,forecast_confidence,forecast_open_q10_pct,forecast_open_q50_pct,forecast_open_q90_pct,forecast_high_q10_pct,forecast_high_q50_pct,forecast_high_q90_pct,forecast_low_q10_pct,forecast_low_q50_pct,forecast_low_q90_pct,forecast_close_q10_pct,forecast_close_q50_pct,forecast_close_q90_pct,forecast_open_q10_price,forecast_open_q50_price,forecast_open_q90_price,forecast_high_q10_price,forecast_high_q50_price,forecast_high_q90_price,forecast_low_q10_price,forecast_low_q50_price,forecast_low_q90_price,forecast_close_q10_price,forecast_close_q50_price,forecast_close_q90_price,forecast_profit_probability,forecast_touch_plus3_probability,forecast_touch_minus3_probability,forecast_open_below_minus3_probability,forecast_limit_touch_probability,forecast_expected_net_return_pct,forecast_downside_q10_pct,forecast_risk_adjusted_utility,forecast_path_status
20260721,1,,新,当前主票,合格,,0,1,1,3,2026-07-21 14:59:52,2026-07-21 14:59:52,002222.SZ,福晶科技,59.57,8.014505893019042,元器件,10.0,87.777778,87.777778,0.615775158658208,1.285228660289464,2.066809438080321,64.22304298283596,72.74079305244071,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、板块强,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,64.69,61.2,-3.6638,-1.1062,2.1841,-0.4162,3.534,9.9995,-7.5769,-4.0628,-0.8034,-6.1975,0.1806,9.9968,57.3875,58.911,60.8711,59.3221,61.6752,65.5267,55.0564,57.1498,59.0914,55.8781,59.6776,65.5251,45.05,53.88,59.77,12.87,19.31,0.0824,-7.5769,-1.433,已预测触及概率；先涨后跌顺序待T+1分时样本
20260721,2,2,持平,已封板,已封板,已涨停，停止新买入,0,1,0,1,2026-07-21 14:30:05,2026-07-21 14:59:52,600667.SH,太极实业,16.69,10.019775873434412,未知板块,10.0,88.636364,88.636364,1.2609096901779708,1.0450356956687563,2.209103574761817,58.79581561570365,72.57950941956076,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、板块强,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,65.98,61.2,-3.6638,-1.0738,2.1841,-0.4162,3.534,9.9995,-7.5769,-4.0625,-0.8034,-6.1975,0.1806,9.9968,15.7895,16.214,16.748,16.3218,16.9692,18.0289,15.1481,15.7242,16.2583,15.3742,16.4196,18.0285,45.13,54.19,59.51,12.88,19.91,0.1098,-7.5769,-1.4056,已预测触及概率；先涨后跌顺序待T+1分时样本
20260721,3,1,降2,资格复核,资格复核,不再满足当前内在资格,1,1,0,2,2026-07-21 14:45:46,2026-07-21 14:59:52,002885.SZ,京泉华,25.22,7.136788445199649,未知板块,10.0,75.744681,75.744681,0.2181818181818073,1.2263860691573505,1.0757393187009812,64.68679658135402,72.84019138755981,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、板块强、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,66.85,61.2,-3.2378,-1.1062,2.1841,-0.4162,3.5049,9.9995,-7.5769,-4.0628,-0.8034,-6.1975,0.1509,9.9968,24.6163,25.1586,25.9956,25.3341,26.3316,27.9839,23.5124,24.4064,25.2356,23.8634,25.4784,27.9832,44.05,53.28,59.91,12.33,19.67,0.0646,-7.5769,-1.4508,已预测触及概率；先涨后跌顺序待T+1分时样本
