buy_rank,portfolio_group,ts_code,name,rank,price,pct_chg,sector_name,p_limitup_t1,wp_score,decision_score,model_confidence,risk_penalty_score,acceptance_score,momentum_score,close_position,intraday_pullback_pct,intraday_vwap_position,confirm_before_buy,reject_if,buy_reason
1,核心,688343.SH,云天励飞,4,87.27,9.815024537561335,软件服务,5.395091272015732,79.59680797883203,51.56977018545942,69.79379165369045,56.013796325132354,68.67010448876748,100.0,80.81180811808115,1.787555861120671,1.9509345794392448,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收
2,核心,920207.BJ,众诚科技,5,26.12,20.25782688766116,软件服务,5.394596536837202,79.84428957736141,52.470357536339186,66.1628857461948,64.0824761195671,86.90011504936507,100.0,83.07392996108953,3.330781010719752,4.535752401280679,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收
3,标准,000938.SZ,紫光股份,6,34.2,8.640406607369776,IT设备,5.390713450151169,76.75618696641851,50.83428739175068,69.54305343511452,56.57099236641218,80.5183638021655,100.0,67.17557251908404,1.257309941520468,0.4405286343612369,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、强均价
4,标准,301291.SZ,明阳电气,7,39.38,11.36877828054299,电气设备,5.390352504442877,78.08513173788344,50.48310162110769,70.11500000000001,55.3,77.93217320732474,75.52235909203891,86.07305936073062,1.5490096495683003,2.7483040528787805,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收
5,标准,300590.SZ,移为通信,11,14.94,9.450549450549438,通信设备,5.366780606094249,72.51626939163731,44.515938664438494,70.11500000000001,55.3,62.87187089595145,51.14622485174289,80.11363636363639,2.3427041499330725,2.4223034734917714,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、近高收、强均价
