plan_trade_date,target_trade_date,sample_status,record_count,first_sample_time,last_sample_time,note,updated_at
20260721,20260722,captured,2,2026-07-21 14:30:05,2026-07-21 14:45:46,已取得14:20-14:50合法窗口样本,2026-07-24 21:45:00
20260722,20260723,missing,0,,,当日未取得14:20-14:50合法窗口快照；不使用15:00后数据回补,2026-07-24 21:45:00
20260723,20260724,missing,0,,,当日未取得14:20-14:50合法窗口快照；不使用15:00后数据回补,2026-07-24 21:45:00
20260724,20260727,missing,0,,,当日未取得14:20-14:50合法窗口快照；不使用15:00后数据回补,2026-07-24 15:00:00
