target_trade_date,ts_code,name,holding_confirmation,plan_time,plan_price,current_price,open_return_pct,high_return_pct,low_return_pct,current_return_pct,sealed_limit_up,guidance_action,guidance_reason,next_checkpoint,forecast_mode,forecast_open_q10_pct,forecast_open_q50_pct,forecast_open_q90_pct,forecast_high_q10_pct,forecast_high_q50_pct,forecast_high_q90_pct,forecast_low_q10_pct,forecast_low_q50_pct,forecast_low_q90_pct,forecast_close_q10_pct,forecast_close_q50_pct,forecast_close_q90_pct,manual_execution_only,order_routing_enabled
20260721,600989.SH,宝丰能源,待人工确认实际持仓,2026-07-20 14:28:50,23.03,22.36,-1.8671,-0.3474,-4.2553,-2.9092,False,建议风险退出,开盘/盘中已触及-3.0%风险线,由人工立即确认盘口并处理,,,,,,,,,,,,,,True,False
20260721,605196.SH,华通线缆,待人工确认实际持仓,2026-07-20 14:43:10,25.56,25.76,-0.1174,1.8388,-2.7387,0.7825,False,继续观察,尚未触发风险退出、利润保护或10:40退出条件,10:40复核,,,,,,,,,,,,,,True,False
