trade_date,raw_count,candidate_count,top_count,hit_top10,hit_top20,hit_top50,next_trade_date
20260701,5511,313,50,0.0,0.05,0.04,20260702
20260702,5517,70,50,0.1,0.1,0.08,20260703
20260703,5516,233,50,0.0,0.0,0.0,20260706
