rank,ts_code,name,trade_date,update_time,price,pct_chg,amount,pre_day_limitup,today_limitup,sector_name,sector_strength_score,stock_strength_score,acceptance_score,momentum_score,capital_score,pattern_score,liquidity_score,risk_penalty_score,ranking_score,p_limitup_t1_raw,p_limitup_t1,wp_score,feature_coverage,model_confidence,model_version,calibration_method,calibration_sample_count,self_learning_adjustment,signal_level,core_reason,risk_reason,next_trade_date,label_t1_limitup,label_available,next_day_high,next_day_close,next_day_low,next_day_limitup_price,next_day_max_pct,next_day_close_pct,next_day_drawdown_pct,next_high,next_close,next_low,next_up_limit,backtest_trade_date,backtest_data_mode,calibration_eligible
1,688981.SH,中芯国际,20260525,2026-05-25,156.0,18.7847,37253708024.0,0,0,半导体,90.6025641025641,96.21857718259976,96.29526672218584,85.04828658697893,95.0,89.5820788932632,100.0,8.585327256495393,93.74962029802806,5.49333387700416,5.49333387700416,90.83206766009354,100.0,82.85366818587615,wp_rule_v2_1,disabled,0,0.0,S级,板块强、个股强、承接好,风险可控,20260526,0.0,True,154.44,149.18,145.5,187.2,-1.0000000000000009,-4.371794871794865,-6.730769230769229,154.44,149.18,145.5,187.2,20260525,eod_proxy,False
2,300475.SZ,香农芯创,20260525,2026-05-25,204.56,8.9882,9940248468.0,0,0,元器件,93.13161874215413,68.9263608665403,100.0,80.83168287516776,93.92235374230033,99.70008085559927,100.0,0.0,92.03509268275265,5.147967525956504,5.147967525956504,87.63148354380809,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,S级,板块强、承接好、动量上,风险可控,20260526,0.0,True,203.0,194.93,189.35,245.47,-0.7626124364489617,-4.707665232694557,-7.435471255377402,203.0,194.93,189.35,245.47,20260525,eod_proxy,False
3,000021.SZ,深科技,20260525,2026-05-25,41.15,9.0644,9437023416.0,0,0,元器件,93.13161874215413,66.84602052782955,89.8223079854016,84.3037861563915,92.92235374230033,96.62559946856379,100.0,3.744738628649003,90.31559611695594,4.822293907250973,4.822293907250973,84.23316165781907,100.0,84.06381534283776,wp_rule_v2_1,disabled,0,0.0,A级,板块强、承接好、动量上,风险可控,20260526,0.0,True,45.13,42.75,38.71,45.27,9.671931956257595,3.888213851761857,-5.929526123936812,45.13,42.75,38.71,45.27,20260525,eod_proxy,False
4,688256.SH,寒武纪,20260525,2026-05-25,1406.5,9.3701,24028347135.0,0,0,半导体,90.6025641025641,53.680189939203295,64.14004536153213,79.00336248498965,95.0,79.91994060035898,100.0,0.0,88.94754771991802,4.577253045092192,4.577253045092192,74.8251590663934,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,A级,板块强、动量上、量价齐,风险可控,20260526,0.0,True,1448.01,1410.96,1375.0,1687.8,2.951297547102727,0.31709918236757506,-2.2396018485602576,1448.01,1410.96,1375.0,1687.8,20260525,eod_proxy,False
5,300373.SZ,扬杰科技,20260525,2026-05-25,95.24,10.257,4087395350.0,0,0,半导体,90.6025641025641,70.7120828274888,87.11128875178615,86.3940823348542,89.87037401977068,94.71077087418767,87.17593504942668,0.0,88.30217137399063,4.465812516576572,4.465812516576572,84.64303186717054,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,A级,板块强、个股强、承接好,风险可控,20260526,0.0,True,99.77,97.9,90.61,114.29,4.756404871902564,2.792944141117193,-4.861402771944556,99.77,97.9,90.61,114.29,20260525,eod_proxy,False
6,300757.SZ,罗博特科,20260525,2026-05-25,621.99,13.192,6518302317.0,0,0,专用机械,64.71131276836724,87.59917825904563,100.0,92.67843698011566,88.90462954876861,99.79418771784316,100.0,0.0,87.57160201435367,4.342782953498498,4.342782953498498,84.46120443405216,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,A级,个股强、承接好、动量上,风险可控,20260526,0.0,True,629.0,597.0,588.88,746.39,1.1270277657197125,-4.0177494815029196,-5.323236707985657,629.0,597.0,588.88,746.39,20260525,eod_proxy,False
7,688082.SH,盛美上海,20260525,2026-05-25,251.0,17.7464,4593175359.0,0,0,半导体,90.6025641025641,92.48273065954271,87.6730279310664,70.18622220440318,91.33105382093083,81.63463475205903,90.82763455232705,38.94484202000979,87.4317295697522,4.319599992042385,4.319599992042385,78.33330631700208,100.0,75.26378949499755,wp_rule_v2_1,disabled,0,0.0,A级,板块强、个股强、承接好,风险可控,20260526,0.0,True,269.0,256.98,248.0,301.2,7.17131474103585,2.382470119521929,-1.195219123505975,269.0,256.98,248.0,301.2,20260525,eod_proxy,False
8,300602.SZ,飞荣达,20260525,2026-05-25,45.9,15.2398,3207259701.0,0,0,元器件,93.13161874215413,90.98739869514412,82.75388675571598,96.03448305061535,85.75663419967772,91.57628633117186,79.58570114344347,0.0,87.02815554652341,4.253370787793651,4.253370787793651,89.99503868916335,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,A级,板块强、个股强、承接好,风险可控,20260526,0.0,True,48.68,46.79,45.73,55.08,6.0566448801743,1.938997821350763,-0.37037037037037646,48.68,46.79,45.73,55.08,20260525,eod_proxy,False
9,301486.SZ,致尚科技,20260525,2026-05-25,292.5,13.0216,3140178231.0,0,0,元器件,93.13161874215413,84.62862334761557,100.0,89.39246672152625,85.15865218518208,98.15512823538579,78.92407944053767,1.5710807267278484,86.93107840371994,4.237585140982421,4.237585140982421,91.06673958030828,100.0,84.60722981831803,wp_rule_v2_1,disabled,0,0.0,A级,板块强、个股强、承接好,风险可控,20260526,0.0,True,292.0,284.75,278.93,351.0,-0.17094017094017033,-2.6495726495726513,-4.639316239316238,292.0,284.75,278.93,351.0,20260525,eod_proxy,False
10,688820.SH,盛合晶微,20260525,2026-05-25,213.93,13.8228,9583830656.0,0,0,半导体,90.6025641025641,92.02980639637073,89.58215851164286,72.01458435042139,95.0,94.2441468489526,100.0,100.0,85.85549549290408,4.066392852983213,4.066392852983213,64.51831830968025,100.0,60.0,wp_rule_v2_1,disabled,0,0.0,C级,板块强、个股强、承接好,风险高,20260526,0.0,True,235.32,229.0,210.02,256.72,9.998597672135734,7.044360304772579,-1.8277006497452453,235.32,229.0,210.02,256.72,20260525,eod_proxy,False
