buy_rank,portfolio_group,ts_code,name,rank,price,pct_chg,sector_name,p_limitup_t1,wp_score,decision_score,model_confidence,risk_penalty_score,acceptance_score,momentum_score,close_position,intraday_pullback_pct,intraday_vwap_position,confirm_before_buy,reject_if,buy_reason,next_trade_date,label_t1_limitup,label_available,next_day_high,next_day_close,next_day_low,next_day_limitup_price,next_day_max_pct,next_day_close_pct,next_day_drawdown_pct,next_high,next_close,next_low,next_up_limit,backtest_trade_date,backtest_data_mode,calibration_eligible
1,核心,300475.SZ,香农芯创,2,204.56,8.9882,元器件,5.147967525956504,87.63148354380809,77.39498259663394,85.0,0.0,100.0,80.83168287516776,98.49999999999994,0.1466562377786529,3.2644544659083286,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260526,0.0,True,203.0,194.93,189.35,245.47,-0.7626124364489617,-4.707665232694557,-7.435471255377402,203.0,194.93,189.35,245.47,20260525,eod_proxy,False
2,核心,688981.SH,中芯国际,1,156.0,18.7847,半导体,5.49333387700416,90.83206766009354,76.27698177102346,82.85366818587615,8.585327256495393,96.29526672218584,85.04828658697893,92.59259259259261,1.025641025641022,4.0925266903914626,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260526,0.0,True,154.44,149.18,145.5,187.2,-1.0000000000000009,-4.371794871794865,-6.730769230769229,154.44,149.18,145.5,187.2,20260525,eod_proxy,False
3,标准,301486.SZ,致尚科技,9,292.5,13.0216,元器件,4.237585140982421,91.06673958030828,76.03919191963752,84.60722981831803,1.5710807267278484,100.0,89.39246672152625,98.7241643276346,0.17094017094017033,4.550166207956541,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260526,0.0,True,292.0,284.75,278.93,351.0,-0.17094017094017033,-2.6495726495726513,-4.639316239316238,292.0,284.75,278.93,351.0,20260525,eod_proxy,False
4,标准,688372.SH,伟测科技,15,181.5,10.2874,半导体,3.755189904387488,87.06305676779937,73.81494844996247,85.0,0.0,98.18303559668792,89.20058254229635,93.72384937238493,0.8264462809917328,3.99159663865547,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260526,0.0,True,183.03,176.55,173.07,217.8,0.8429752066115626,-2.7272727272727226,-4.644628099173554,183.03,176.55,173.07,217.8,20260525,eod_proxy,False
5,标准,300757.SZ,罗博特科,6,621.99,13.192,专用机械,4.342782953498498,84.46120443405216,72.52337838792455,85.0,0.0,100.0,92.67843698011566,95.97593582887701,0.48393060981688496,3.827085616990966,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260526,0.0,True,629.0,597.0,588.88,746.39,1.1270277657197125,-4.0177494815029196,-5.323236707985657,629.0,597.0,588.88,746.39,20260525,eod_proxy,False
1,核心,002463.SZ,沪电股份,1,133.36,8.8298,元器件,5.090280733188478,84.16892881113684,74.0275426755047,85.0,0.0,89.67748715776086,66.86227298627472,88.31699346405246,1.0722855428914047,2.400819042743807,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260527,0.0,True,134.5,128.29,127.1,146.7,0.8548290341931608,-3.8017396520696023,-4.6940611877624665,134.5,128.29,127.1,146.7,20260526,eod_proxy,False
2,核心,000725.SZ,京东方Ａ,3,5.77,9.4877,元器件,3.3037789497025454,79.15483639047142,65.90177990979217,83.26950329026113,6.921986838955508,85.53342412705808,65.77028169203156,95.16129032258061,0.5199306759098743,3.3432835820895512,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260527,0.0,True,6.09,5.72,5.53,6.35,5.54592720970537,-0.8665511265164572,-4.159445407279017,6.09,5.72,5.53,6.35,20260526,eod_proxy,False
3,标准,688333.SH,铂力特,5,100.77,11.2866,机械基件,3.041161115225511,71.96464782931143,62.63353203068853,82.89473684210526,0.0,100.0,87.04729021289074,94.34713375796171,0.7045747742383757,3.82594360682762,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260527,0.0,True,103.48,101.81,99.18,120.92,2.689292448149261,1.0320531904336683,-1.5778505507591412,103.48,101.81,99.18,120.92,20260526,eod_proxy,False
4,标准,300222.SZ,科大智能,2,16.57,12.2629,电气设备,3.572887713922347,75.20780222495291,62.432406126863526,81.42034434096821,14.318622636127166,78.85724452297585,84.6229069505283,84.98168498168498,2.4743512371756093,3.9958158995816007,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260527,0.0,True,17.32,16.58,16.1,19.88,4.526252263126129,0.06035003017499374,-2.836451418225705,17.32,16.58,16.1,19.88,20260526,eod_proxy,False
5,标准,600590.SH,泰豪科技,4,15.28,8.9095,通信设备,3.194272825907376,64.13956691159075,58.55938680148459,82.89473684210526,0.0,99.44713062710908,60.929673931306134,93.53448275862067,0.981675392670156,4.609767229575534,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260527,0.0,True,15.59,14.45,14.44,16.81,2.0287958115183358,-5.4319371727748695,-5.497382198952883,15.59,14.45,14.44,16.81,20260526,eod_proxy,False
1,核心,300763.SZ,锦浪科技,1,119.9,11.4727,电气设备,3.9652543100103697,80.63590655858168,69.01952782176012,84.64595496246874,1.4161801501250508,82.87436979270933,92.79944299114095,76.48484848484851,3.236030025020842,2.4903122863004334,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260528,0.0,True,121.8,120.4,116.6,143.64,1.5846538782318564,0.417014178482078,-2.752293577981657,121.8,120.4,116.6,143.64,20260527,eod_proxy,False
2,核心,600330.SH,天通股份,3,31.21,8.1428,专用机械,3.4787807498694803,72.3520671884717,63.79399134773116,85.0,0.0,91.1073361553869,65.0,85.60000000000002,1.7302146747837144,2.9353562005276945,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260528,1.0,True,34.33,34.33,29.59,34.33,9.996795898750399,9.996795898750399,-5.190644024351176,34.33,34.33,29.59,34.33,20260527,eod_proxy,False
3,标准,300373.SZ,扬杰科技,2,110.02,12.38,半导体,3.5485337234380285,61.16430111510422,52.46545907935651,78.7117856678563,16.731804696995834,67.44586878043752,70.61216466314903,64.5680819912152,4.399200145428117,1.2205593719332608,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、强均价、低风险,20260528,0.0,True,118.0,114.3,108.13,132.02,7.253226686057079,3.8902017814942846,-1.717869478276679,118.0,114.3,108.13,132.02,20260527,eod_proxy,False
1,核心,300602.SZ,飞荣达,4,49.08,9.4803,元器件,4.161626964527028,88.31637051001442,75.2891245437422,85.0,0.0,99.14360423890354,83.27249548143993,97.66990291262128,0.24449877750611915,3.4497295018618868,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260529,0.0,True,49.29,45.3,45.01,58.9,0.42787286063570296,-7.701711491442542,-8.29258353708232,49.29,45.3,45.01,58.9,20260528,eod_proxy,False
2,核心,300184.SZ,力源信息,2,17.14,13.8114,元器件,4.288673992340728,83.63087798002896,70.29435904333985,85.0,0.0,62.53322666968716,96.22794836017664,83.88429752066115,2.2753792298716435,3.2944957814383224,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、近高收、强均价,20260529,0.0,True,18.4,16.49,16.23,20.57,7.351225204200684,-3.7922987164527577,-5.309218203033838,18.4,16.49,16.23,20.57,20260528,eod_proxy,False
3,标准,688630.SH,芯碁微装,10,326.0,15.1943,专用机械,3.666331695429993,82.69209855749124,68.85171294786419,84.79434854233129,0.8226058306748413,87.15153981228937,98.87587983227174,90.77155824508321,1.4969325153374236,4.6123566660961846,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260529,0.0,True,366.0,335.0,333.13,391.2,12.269938650306745,2.7607361963190247,2.1871165644171686,366.0,335.0,333.13,391.2,20260528,eod_proxy,False
4,标准,300666.SZ,江丰电子,1,203.05,10.7143,半导体,4.3490320458129625,70.36394472369325,64.20676461185889,85.0,0.0,87.16991403327118,74.66492607273189,91.75965665236058,0.9455799064269854,3.3000390035442306,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260529,0.0,True,204.14,190.2,187.74,243.66,0.5368135927111384,-6.3284905195764685,-7.5400147746860435,204.14,190.2,187.74,243.66,20260528,eod_proxy,False
5,标准,688048.SH,长光华芯,3,395.58,9.7797,半导体,4.282794390656046,69.0272893722914,63.29404473621231,85.0,0.0,89.7948139967872,65.33595118058238,92.07174887892374,1.1173466808231058,4.115525999491143,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260529,0.0,True,409.7,394.74,374.51,474.7,3.569442337833051,-0.21234642802971937,-5.326356236412355,409.7,394.74,374.51,474.7,20260528,eod_proxy,False
1,核心,600487.SH,亨通光电,1,77.12,9.4211,通信设备,4.093282032342918,73.8374999148836,67.08141670247063,82.89473684210526,0.0,100.0,82.03595933674617,94.90683229813669,0.5316390041493646,3.2258064516129226,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260601,0.0,True,80.81,75.56,73.4,84.83,4.784751037344392,-2.0228215767634894,-4.823651452282151,80.81,75.56,73.4,84.83,20260529,eod_proxy,False
2,核心,601869.SH,长飞光纤,2,402.81,8.706,通信设备,3.956971343780099,70.82545742753143,65.09933307031714,82.89473684210526,0.0,96.72206955371827,76.21011047522262,90.02380952380953,1.040192646657223,2.861739345085601,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260601,0.0,True,399.99,371.58,367.0,443.09,-0.7000819244805223,-7.753034929619429,-8.890047416896307,399.99,371.58,367.0,443.09,20260529,eod_proxy,False
1,核心,688365.SH,光云科技,5,21.35,17.9558,软件服务,3.541290776456553,87.87081043889604,71.58746262092019,84.41657464168618,2.333701433255267,98.61270220169774,85.66133154900797,89.75069252077569,1.7330210772833698,4.691075514874132,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260602,0.0,True,21.75,20.78,20.36,25.62,1.87353629976581,-2.669789227166275,-4.6370023419203825,21.75,20.78,20.36,25.62,20260601,eod_proxy,False
2,核心,603232.SH,格尔软件,9,22.89,9.679,软件服务,3.2143308664897936,84.26236633866954,71.03213336147972,85.0,0.0,100.0,87.67084127416281,99.54545454545463,0.043687199650488395,3.27868852459019,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260602,0.0,True,22.54,22.49,21.5,25.18,-1.5290519877675934,-1.747487986020102,-6.072520751419841,22.54,22.49,21.5,25.18,20260601,eod_proxy,False
3,标准,002859.SZ,洁美科技,1,75.05,8.4538,元器件,4.722911329834469,77.56299147430296,67.27878825137797,80.36785275427322,18.528588982907134,90.36701522829847,73.18506216218418,84.86562942008477,1.4257161892072157,2.2386704204885755,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260602,0.0,True,82.28,80.4,70.1,82.56,9.633577614923382,7.1285809460359895,-6.595602931379085,82.28,80.4,70.1,82.56,20260601,eod_proxy,False
4,标准,688352.SH,颀中科技,7,21.62,10.9856,半导体,3.4682742985612025,54.82810023593433,44.54196817184972,69.14557072033983,54.99666448706172,88.91813565767802,66.6873100844141,85.38461538461543,1.757631822386685,2.919708029197099,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260602,0.0,True,24.58,23.62,21.65,25.94,13.69102682701202,9.250693802035158,0.13876040703051373,24.58,23.62,21.65,25.94,20260601,eod_proxy,False
1,核心,002436.SZ,兴森科技,1,42.22,9.3216,元器件,5.19692298015628,85.94872493693171,74.19519807831641,81.52724648141465,13.891014074341388,97.6114591662162,83.47617041864845,95.24680073126146,0.6158218853623776,4.067044614246984,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260603,0.0,True,42.6,39.82,39.13,46.44,0.9000473709142698,-5.684509711037422,-7.318806252960675,42.6,39.82,39.13,46.44,20260602,eod_proxy,False
2,核心,300620.SZ,光库科技,2,320.02,14.8466,通信设备,4.857155824971224,84.96218783196846,72.80898262446019,85.0,0.0,89.27648089522229,96.10754963977745,91.79271014133398,1.0343103556027744,3.6390133318940032,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260603,0.0,True,351.0,337.06,329.54,384.02,9.680644959690031,5.324667208299494,2.974814074120369,351.0,337.06,329.54,384.02,20260602,eod_proxy,False
3,标准,300502.SZ,新易盛,3,747.0,9.882,通信设备,4.304446882955652,75.36154432828314,66.39945850208797,83.58561402841438,5.657543886342456,81.73275097517059,88.2412509342906,91.51103565365025,0.6693440428380271,2.2307376488299058,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260603,0.0,True,815.98,782.25,758.07,896.4,9.234270414993318,4.718875502008024,1.4819277108433893,815.98,782.25,758.07,896.4,20260602,eod_proxy,False
4,标准,300679.SZ,电连技术,13,58.21,8.1769,元器件,3.0083444352760247,75.86563750230243,64.9196782101862,85.0,0.0,75.73379570241956,69.13891222928319,86.40109890109888,1.7007387046899192,3.129982873678605,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260603,0.0,True,61.9,60.0,58.31,69.85,6.33911699020786,3.0750730115100433,0.17179178835251552,61.9,60.0,58.31,69.85,20260602,eod_proxy,False
5,标准,300757.SZ,罗博特科,10,650.59,9.1631,专用机械,3.340523006944607,72.69116809994765,64.23684609515567,85.0,0.0,97.53047054275505,75.65020152644418,96.75419996737888,0.30587620467574794,3.0262241084436647,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260603,0.0,True,714.0,687.65,663.98,780.71,9.746537758035,5.69636791220276,2.0581318495519474,714.0,687.65,663.98,780.71,20260602,eod_proxy,False
1,核心,300747.SZ,锐科激光,4,47.87,17.7324,专用机械,4.231137357222016,82.89067013854627,69.70523865228667,84.62282415709213,1.5087033716314977,95.38442896746335,88.44574396535464,88.25031928480202,1.9218717359515303,4.352565034152001,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260604,0.0,True,49.44,47.0,46.4,57.44,3.2797158972216467,-1.817422185084594,-3.070816795487774,49.44,47.0,46.4,57.44,20260603,eod_proxy,False
2,核心,688802.SH,沐曦股份-U,6,756.4,14.0067,半导体,4.024738099579727,80.82592721384647,68.8188781254036,82.89473684210526,0.0,99.10107692307693,75.93521437261502,94.0588457185967,0.8328926493918587,4.2945913152185655,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260604,0.0,True,759.68,724.3,722.0,907.68,0.43363299841352454,-4.243786356425172,-4.547858276044414,759.68,724.3,722.0,907.68,20260603,eod_proxy,False
3,标准,688498.SH,源杰科技,1,1405.0,16.413,半导体,4.648090784297654,79.82444700153944,68.6593674654331,82.89473684210526,0.0,90.01075387373272,73.67247873484152,83.4302472569146,2.332384341637006,3.2387325271812983,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260604,0.0,True,1405.93,1373.9,1350.0,1686.0,0.06619217081851314,-2.21352313167259,-3.9145907473309594,1405.93,1373.9,1350.0,1686.0,20260603,eod_proxy,False
