buy_rank,portfolio_group,ts_code,name,rank,price,pct_chg,sector_name,p_limitup_t1,wp_score,decision_score,model_confidence,risk_penalty_score,acceptance_score,momentum_score,close_position,intraday_pullback_pct,intraday_vwap_position,confirm_before_buy,reject_if,buy_reason,next_trade_date,label_t1_limitup,label_available,next_day_open,next_day_high,next_day_close,next_day_low,next_day_limitup_price,next_day_open_pct,next_day_max_pct,next_day_close_pct,next_day_drawdown_pct,next_open,next_high,next_close,next_low,next_up_limit,backtest_trade_date,backtest_data_mode,calibration_eligible
1,核心,688268.SH,华特气体,9,219.06,16.2986,化工原料,3.660489569029294,91.2624795220159,74.52158615452814,85.0,0.0,100.0,90.89974388680675,98.39240043843625,0.2008582123619096,4.200161727631624,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260623,0.0,True,234.16,252.8,249.09,213.0,262.87,6.893088651510992,15.402172920661016,13.708572993700363,-2.7663653793481235,234.16,252.8,249.09,213.0,262.87,20260622,eod_proxy,False
2,核心,002709.SZ,天赐材料,2,55.92,8.3511,化工原料,4.218732828347303,79.83120526756053,70.4305491239631,85.0,0.0,86.71095711512669,74.80882293300894,90.94540612516646,1.2160228898426384,3.8054575830703596,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260623,0.0,True,55.61,56.1,54.04,53.88,61.51,-0.5543633762517874,0.32188841201716833,-3.3619456366237532,-3.648068669527893,55.61,56.1,54.04,53.88,61.51,20260622,eod_proxy,False
3,标准,300033.SZ,同花顺,3,246.7,14.9099,软件服务,4.1757394907673095,82.34661489020728,70.08865142465817,85.0,0.0,100.0,96.2134957411924,99.70414201183425,0.04053506282934993,4.755838641188959,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260623,0.0,True,244.91,258.36,249.4,242.42,296.04,-0.7255776246453127,4.726388325901909,1.0944466963923816,-1.7349006890960639,244.91,258.36,249.4,242.42,296.04,20260622,eod_proxy,False
4,标准,603993.SH,洛阳钼业,5,21.65,8.0339,小金属,4.071556262307998,77.60246538959962,69.04834356004815,85.0,0.0,94.380918531083,84.65051457975987,95.71428571428572,0.41570438799076737,3.0461684911946785,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260623,0.0,True,21.6,21.61,19.49,19.49,23.82,-0.2309468822170757,-0.18475750577366945,-9.976905311778294,-9.976905311778294,21.6,21.61,19.49,19.49,23.82,20260622,eod_proxy,False
5,标准,300346.SZ,南大光电,1,70.8,9.0909,半导体,4.233266443952248,71.56025605521955,65.2318380967345,85.0,0.0,85.19284625221988,85.61803606288342,91.88034188034169,0.5367231638418124,1.8802762854950084,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260623,0.0,True,74.92,76.59,71.43,70.7,84.96,5.819209039548023,8.177966101694922,0.8898305084745983,-0.14124293785310327,74.92,76.59,71.43,70.7,84.96,20260622,eod_proxy,False
1,核心,300623.SZ,捷捷微电,1,42.25,9.9974,半导体,4.420605399935869,74.86228963946998,67.8018319336881,82.89473684210526,0.0,100.0,83.53269854836859,93.47368421052626,0.733727810650886,3.3681291795791823,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260624,0.0,True,41.95,43.09,42.38,40.03,50.7,-0.7100591715976212,1.988165680473375,0.3076923076923199,-5.254437869822482,41.95,43.09,42.38,40.03,50.7,20260623,eod_proxy,False
2,核心,688711.SH,宏微科技,5,43.95,13.8011,半导体,3.4267192468013885,74.38650752674768,63.67102099790353,82.50758192742948,1.5486196587030832,91.22723450655886,88.39949741105285,87.51677852348995,2.116040955631404,4.427372089339476,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260624,0.0,True,42.94,44.0,42.42,40.48,52.74,-2.298065984072817,0.11376564277587597,-3.4812286689419825,-7.895335608646203,42.94,44.0,42.42,40.48,52.74,20260623,eod_proxy,False
3,标准,001267.SZ,汇绿生态,3,61.36,8.8136,通信设备,3.885670956483065,68.6364346584973,63.35722080223616,82.89473684210526,0.0,96.59447077049033,79.39513685682749,90.28985507246374,1.0919165580182577,3.1144969751288443,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260624,0.0,True,58.21,61.61,61.43,57.5,67.5,-5.1336375488917785,0.40743155149933763,0.11408083441981631,-6.290743155149936,58.21,61.61,61.43,57.5,67.5,20260623,eod_proxy,False
4,标准,688268.SH,华特气体,2,249.09,13.7086,化工原料,4.2091823789182055,79.12683179317636,62.6422909367958,76.8871006829723,32.451597268110795,99.63220702991416,59.86726825116243,90.67839195979897,1.4894214942390294,4.529368154541258,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,强板块、承接好、近高收,20260624,0.0,True,231.39,248.0,237.53,215.55,298.91,-7.105865349873541,-0.43759283793006754,-4.64089284997391,-13.46501264603155,231.39,248.0,237.53,215.55,298.91,20260623,eod_proxy,False
5,标准,688313.SH,仕佳光子,4,199.98,9.5481,通信设备,3.776139233328536,66.09862003397944,60.81176090047184,82.84033924384543,0.21759039303930053,83.6429734689379,82.45141417708888,82.49472732750827,2.9052905290529063,3.729446548057469,涨幅>8%、承接稳、板块不退,破8%/回落大/板块弱/难成交,承接好、近高收、强均价,20260624,0.0,True,193.0,206.67,203.33,191.08,239.98,-3.490349034903484,3.345334533453337,1.6751675167516966,-4.450445044504436,193.0,206.67,203.33,191.08,239.98,20260623,eod_proxy,False
