rank_percentile_min,expected_utility_min_pct,entry_fill_probability_min,exit_fill_probability_min,events,trade_days,wins,win_rate,win_rate_wilson_lower,mean_net_return_pct,median_net_return_pct,profit_factor,entry_fill_rate,exit_fill_rate_given_entry,round_trip_fill_rate,win_rate_given_entry,mean_net_return_given_entry_pct,mean_net_return_round_trip_pct,win_rate_day_clustered_lower,mean_net_return_day_clustered_lower_pct
0.99,0.0,0.95,0.95,1778,276,841,0.4730033745781777,0.4498795729238236,0.10529570359316591,-0.08387628549602599,1.0913736640003429,0.983127109111361,0.9862700228832952,0.96962879640045,0.48112128146453087,0.10710283809419273,0.24780496577067807,0.43050213931237014,-0.19610569232445227
0.99,0.0,0.95,0.98,1748,272,827,0.4731121281464531,0.449791157815922,0.1049646335029453,-0.08387628549602599,1.093780141699568,0.9834096109839817,0.9889470622454916,0.9725400457665904,0.4810936591041303,0.10673541556902176,0.21969304668420492,0.43032943930073114,-0.18048990692965433
0.99,0.0,0.97,0.95,1614,270,771,0.47769516728624534,0.453408240129722,0.10653261772524839,-0.11150288647157591,1.0912558622761406,0.9925650557620818,0.9868913857677902,0.9795539033457249,0.4812734082397004,0.10733061486176712,0.2415835831806141,0.4376946884984026,-0.1691825317645938
0.99,0.0,0.97,0.98,1587,266,759,0.4782608695652174,0.4537665706037042,0.10810051741778329,-0.10775065225643843,1.0951965394028664,0.9930686830497795,0.9892131979695431,0.982356647763075,0.4815989847715736,0.10885502610534396,0.219086286813356,0.43734671268034686,-0.16418146958128918
0.99,0.05,0.95,0.95,1580,244,758,0.479746835443038,0.4551919117382493,0.1599073641516868,-0.04222739157012079,1.133943412943383,0.9835443037974684,0.9845559845559846,0.9683544303797469,0.4877734877734878,0.16258277693672143,0.3219958401043563,0.43716733696164717,-0.13985346452745234
0.99,0.05,0.95,0.98,1553,241,744,0.47907276239536384,0.4543092951283323,0.155399520239757,-0.06388754394888707,1.1340179193046693,0.9839021249195107,0.987565445026178,0.9716677398583387,0.4869109947643979,0.15794205165729225,0.2858419184442297,0.4373081023454158,-0.1640418153400905
0.99,0.05,0.97,0.95,1436,239,693,0.48259052924791085,0.45682638076692017,0.15060139982017787,-0.08387628549602599,1.123765502000409,0.9937325905292479,0.9852838121934128,0.979108635097493,0.48563419761737914,0.15155123345604443,0.3031746871563125,0.4397104592715004,-0.1786125242282859
0.99,0.05,0.97,0.98,1412,236,681,0.48229461756373937,0.45631475959591766,0.14751762568939422,-0.0862949293103985,1.1245617303389852,0.9943342776203966,0.9878917378917379,0.9822946175637394,0.48504273504273504,0.14835818196112863,0.27274324980059456,0.43644522872268227,-0.18126340287786544
0.99,0.1,0.95,0.95,1393,209,685,0.49174443646805455,0.4655499892258555,0.21176000373039333,0.0,1.1747267045810645,0.9842067480258435,0.9846827133479212,0.9691313711414213,0.49963530269876005,0.21515804901271912,0.37406050755291703,0.4497605684872658,-0.1320149587718172
0.99,0.1,0.95,0.98,1368,206,672,0.49122807017543857,0.4647981385259913,0.2080744242921447,0.0,1.176497746129433,0.9846491228070176,0.9873793615441723,0.9722222222222222,0.49888641425389757,0.21131834627442758,0.3418389567155292,0.4457926365656802,-0.12081366982321816
0.99,0.1,0.97,0.95,1273,204,631,0.4956794972505892,0.4682683289438497,0.21551970708394252,0.0,1.174346132528237,0.9937156323644933,0.9857707509881423,0.9795758051846033,0.49881422924901186,0.21688267756352478,0.3643597330536157,0.45244360753691,-0.1027836491987836
0.99,0.1,0.97,0.98,1250,201,619,0.4952,0.4675403941569947,0.20466763244393416,0.0,1.169596674251943,0.9944,0.9879324215607401,0.9824,0.49798873692679,0.20582022570789835,0.3304841535463499,0.4506635934492346,-0.12052477961826524
0.99,0.2,0.95,0.95,1128,161,572,0.5070921985815603,0.4779420669849168,0.329049810845794,0.04615503706692525,1.2675957457381475,0.9796099290780141,0.983710407239819,0.9636524822695035,0.5176470588235295,0.3358988114335345,0.5070544495253503,0.4623431899641577,-0.04232942809635946
