score,top_n,events,trade_days,wins,win_rate,win_rate_wilson_lower,mean_net_return_pct,median_net_return_pct,profit_factor,win_rate_day_clustered_lower,mean_net_return_day_clustered_lower_pct
executable_positive_probability,1,2187,725,898,0.41060813900320076,0.39016469945686555,-0.4406576382891188,-0.4414675608534311,0.7198222950934264,0.384956493095684,-0.6546836795601292
executable_positive_probability,3,5896,725,2459,0.41706241519674353,0.4045345966268537,-0.3761196172663978,-0.3969789631739493,0.7463789607298293,0.3976922223893232,-0.5349402644752327
executable_positive_probability,5,9312,725,3927,0.4217139175257732,0.41171807681325834,-0.3318844772299164,-0.3499000999000965,0.7697181653893316,0.4044192185522262,-0.4778065966294004
executable_positive_probability,10,17285,725,7222,0.4178189181371131,0.4104854476782751,-0.3326361705564454,-0.3738320890161404,0.764663252946724,0.4015726559642829,-0.47137482744853726
executable_positive_probability,20,31708,725,13098,0.41308187208275515,0.4076730783629803,-0.35216733571624487,-0.39925790496193025,0.7491709041857023,0.3976468953164547,-0.4857707316384096
conservative_probability,1,2235,725,933,0.4174496644295302,0.3971637861561488,-0.39123904361716555,-0.40034195796627126,0.7482720584542244,0.3914963789876326,-0.5952833580770099
conservative_probability,3,6143,725,2587,0.42112974116881,0.40883593454893224,-0.36293590190283637,-0.3886060665409361,0.7553236087560213,0.40271334683478976,-0.5100066523869595
conservative_probability,5,9616,725,4079,0.42418885191347755,0.41434301724806355,-0.31384151932226384,-0.3499000999000965,0.7824881761057237,0.40684673726200316,-0.4556364596877673
conservative_probability,10,17833,725,7525,0.4219705041215724,0.4147395069082252,-0.3302050137829846,-0.3499000999000965,0.7674368659717137,0.4063368255637699,-0.46053025541723464
conservative_probability,20,32403,725,13483,0.4161034472116779,0.4107467937825585,-0.3329183461887178,-0.3838912873448339,0.7626969943926405,0.40079647617636915,-0.4543635060995466
entry_fill_probability,1,3204,725,1309,0.4085518102372035,0.3916502148267032,-0.39282296299828995,-0.4952751993699376,0.7239649743001374,0.3887473383280757,-0.5582349377504562
entry_fill_probability,3,7334,725,2998,0.40878101990728116,0.39758046138735054,-0.3997750449323882,-0.5109646998207926,0.7249511414391538,0.3907611682421827,-0.5431736845660381
entry_fill_probability,5,10595,725,4337,0.4093440302029259,0.400015653755618,-0.4027578196147614,-0.5135940838187967,0.7248295307485767,0.39412808934118987,-0.5436817146270342
entry_fill_probability,10,17294,725,7143,0.413033421996068,0.4057151540485162,-0.3731504441868518,-0.49671021349643163,0.7488726981128021,0.3970429823169667,-0.5204357563386127
entry_fill_probability,20,28325,725,11567,0.4083671668137688,0.4026557687304065,-0.40806991235448103,-0.5214146858935118,0.733295131679062,0.3916418866238286,-0.5551678936785182
exit_fill_probability,1,1895,725,590,0.3113456464379947,0.2908968523644243,-0.2599051069466305,-0.14182907693709979,0.5525372130367098,0.2815569080366128,-0.33672423503042687
exit_fill_probability,3,4531,725,1415,0.31229309203266387,0.29896308777824243,-0.2344509650244783,0.0,0.5807212383147,0.2884725721447851,-0.3033006078456984
exit_fill_probability,5,6984,725,2118,0.30326460481099654,0.2925946316224226,-0.23106925027012798,0.0,0.5812122479514873,0.2816845328489613,-0.2986443075341428
exit_fill_probability,10,12881,725,3755,0.2915146339569909,0.2837295357362569,-0.21834825761569454,0.0,0.5931201052681055,0.2719393455290044,-0.2805036844529045
exit_fill_probability,20,25155,725,7031,0.2795070562512423,0.27399546144066655,-0.21026603241466044,0.0,0.6096709653733223,0.26343228723646483,-0.26709130607011494
round_trip_fill_probability,1,2013,725,754,0.37456532538499754,0.35367933530921064,-0.3514560477488563,-0.43051345467120505,0.5786517486600162,0.34673947725729803,-0.44881975368798127
round_trip_fill_probability,3,4706,725,1762,0.37441563960900975,0.3606958809359505,-0.33609074602370265,-0.42990026006056703,0.611685478697727,0.35308154617105075,-0.4229626761722923
round_trip_fill_probability,5,7114,725,2708,0.380657857745291,0.3694421457304474,-0.3287858944958147,-0.4145748904091693,0.6264680985863841,0.36213738873097756,-0.41376868756225793
round_trip_fill_probability,10,12809,725,4954,0.38675930986025453,0.3783605977134599,-0.3117532925119959,-0.4108705606264471,0.6672029079624026,0.3701116946587272,-0.3953173440170531
round_trip_fill_probability,20,24722,725,9658,0.39066418574548983,0.38459976080386205,-0.31849926553080815,-0.4365098297583412,0.6916820711259913,0.37499357894304264,-0.4086590356507411
conditional_positive_probability,1,2433,725,847,0.3481298808055898,0.32945367682231147,-0.5469638771927253,0.0,0.7110160704910634,0.3247311073653265,-0.7672990392839252
conditional_positive_probability,3,6679,725,2210,0.33088785746369215,0.3197033942632544,-0.5743507476848783,0.0,0.6690536997232207,0.3133772256931284,-0.7324920147440939
