score,decile,direction,events,trade_days,wins,win_rate,win_rate_wilson_lower,mean_net_return_pct,median_net_return_pct,profit_factor,win_rate_day_clustered_lower,mean_net_return_day_clustered_lower_pct
probability,1,10_is_highest,152955,725,20235,0.13229381190546238,0.13060510271166348,-6.76616292033089,-10.0,0.04933125901098041,,
probability,2,10_is_highest,155408,725,36666,0.2359338000617729,0.23382942222696912,-4.277192678593615,-3.176356594619972,0.12853191063749908,,
probability,3,10_is_highest,154929,725,45329,0.2925791814314944,0.2903189597682985,-2.8901332524695102,-1.5920441991870424,0.2131370017948214,,
probability,4,10_is_highest,155434,725,51878,0.33376223992176746,0.33142210002931016,-1.9774820001364612,-1.0679386131979327,0.3064158986692712,,
probability,5,10_is_highest,155953,725,55684,0.35705629260097593,0.35468187199310836,-1.4092638730138318,-0.8615523401054701,0.40137303264844776,,
probability,6,10_is_highest,154415,725,58911,0.3815108635819059,0.3790910101341262,-1.0060895931558933,-0.7070050146457505,0.501444386544532,,
probability,7,10_is_highest,154938,725,61299,0.3956356736242884,0.3932034733447597,-0.7528449050924708,-0.6348419404817505,0.5868967695094732,,
probability,8,10_is_highest,155425,725,63054,0.40568763069004343,0.40324886062311277,-0.6335160228994773,-0.5934598721067439,0.6400691043870345,,
probability,9,10_is_highest,154912,725,64356,0.41543586035942986,0.4129839920417003,-0.5599670534471602,-0.5577572403435869,0.67818147223232,,
probability,10,10_is_highest,157521,725,66949,0.4250163470267456,0.42257697059202354,-0.5075384226418027,-0.5332030354966042,0.7171682719337424,,
expected_return,1,10_is_highest,152955,725,20828,0.1361707691804779,0.13446111646738598,-6.7265607375344425,-10.0,0.05795674759285069,,
expected_return,2,10_is_highest,155409,725,37720,0.2427143859107259,0.24058925108593243,-4.291042850721828,-4.031641195264096,0.16064796062662517,,
expected_return,3,10_is_highest,154928,725,46667,0.30121733966745845,0.29893777552825784,-2.943062076003996,-2.1550548235414357,0.258252496133117,,
expected_return,4,10_is_highest,155434,725,52885,0.3402408739400646,0.3378894677626417,-2.0880112516390072,-1.4681848002743578,0.3482259487545928,,
expected_return,5,10_is_highest,155953,725,57473,0.36852769744730784,0.36613674647362104,-1.4585400372328188,-1.0751969658159886,0.44162581927970224,,
expected_return,6,10_is_highest,154415,725,59631,0.38617362302885083,0.38374809888127226,-1.0322158844138407,-0.8167229966295428,0.5220924125762437,,
expected_return,7,10_is_highest,154938,725,61671,0.3980366340084421,0.39560185337335957,-0.7563759530831995,-0.6511253536300496,0.5862968724799922,,
expected_return,8,10_is_highest,155425,725,63010,0.405404535949815,0.4029660436143467,-0.5996599755613478,-0.5447795925118291,0.6201819951746506,,
expected_return,9,10_is_highest,154912,725,62052,0.4005629002272258,0.39812526629453926,-0.5044422401523483,-0.47606314472342626,0.6292147484687527,,
expected_return,10,10_is_highest,157521,725,62424,0.3962900184737273,0.3938771170688651,-0.3813377800440628,-0.38472062966661813,0.6484208831614304,,
conservative_probability,1,10_is_highest,152955,725,20375,0.13320911379163805,0.13151541708971065,-6.745090306181753,-10.0,0.049987024988493806,,
conservative_probability,2,10_is_highest,155408,725,36612,0.23558632760218265,0.23348303373661888,-4.258908286439506,-3.1461434833955524,0.12906550644101,,
conservative_probability,3,10_is_highest,154929,725,45526,0.2938507316254542,0.29158760248800936,-2.8709639642037783,-1.5801968966993538,0.2136726991957993,,
conservative_probability,4,10_is_highest,155434,725,51894,0.3338651775029916,0.3315248547325871,-1.97271360251504,-1.066999230575438,0.307365971280451,,
conservative_probability,5,10_is_highest,155953,725,55876,0.35828743275217534,0.3559111675052345,-1.4041892788449055,-0.8531751623690851,0.402205180633861,,
conservative_probability,6,10_is_highest,154415,725,58793,0.38074668911698994,0.3783277875474968,-1.0203540827425845,-0.7125138926409145,0.49778947341005875,,
