score,rank_percentile_min,events,trade_days,wins,win_rate,win_rate_wilson_lower,mean_net_return_pct,median_net_return_pct,profit_factor,entry_fill_rate,exit_fill_rate_given_entry,round_trip_fill_rate,win_rate_given_entry,mean_net_return_given_entry_pct,mean_net_return_round_trip_pct,win_rate_day_clustered_lower,mean_net_return_day_clustered_lower_pct
executable_positive_probability,0.99,7069,725,2967,0.4197199038053473,0.40826204892447987,-0.32187892368150217,-0.39845421892807353,0.7795905204657292,0.9926439383222521,0.987031494940858,0.9797708303861933,0.4228302693458743,-0.32426423136732774,-0.19713573657299144,0.4006867130201651,-0.4829900219504068
executable_positive_probability,0.995,4182,725,1749,0.4182209469153515,0.40335278045025397,-0.3247035757893208,-0.3952891882579743,0.7812711889020622,0.9925872788139646,0.9838593110093953,0.9765662362505978,0.42134425439653095,-0.3271284880633437,-0.1684403413200146,0.39687656314896075,-0.5163522601508258
executable_positive_probability,0.998,2526,725,1052,0.4164687252573238,0.3973852629851198,-0.43403847105636756,-0.4424754462550249,0.7220259178481513,0.9920823436262867,0.9804469273743017,0.9726840855106889,0.4197924980047885,-0.4375024652387806,-0.24679738619795855,0.39117407366900736,-0.6404085268408101
executable_positive_probability,0.999,2191,725,898,0.40985851209493385,0.3894405931865001,-0.4441070517558244,-0.4516831869098734,0.7178770995438521,0.9908717480602465,0.9792722247812068,0.970333181195801,0.41363426992169505,-0.44819831892999124,-0.24602001429774753,0.3841235818653869,-0.6552636167598248
expected_utility,0.99,13771,725,1632,0.11850991213419505,0.11321777428399696,-0.03903454869725725,0.0,0.8697042154349683,0.27812068840316606,0.9921671018276762,0.2759421973712875,0.4261096605744125,-0.14035111491120877,-0.06251178160787624,0.10431069701051682,-0.0851364845238219
expected_utility,0.995,7862,725,930,0.11829051132027474,0.11133753437069015,-0.03575409568865685,0.0,0.881407984716472,0.275248028491478,0.9921441774491682,0.2730857288221826,0.4297597042513863,-0.12989773581525887,-0.05174601784081051,0.10293194621598639,-0.08643382671477531
expected_utility,0.998,4632,725,565,0.12197754749568221,0.1128650301883613,0.0015499762377284086,0.0,1.0054501043054869,0.2655440414507772,0.9902439024390244,0.26295336787564766,0.45934959349593496,0.005836983685494305,0.10441665840160756,0.10605404716259072,-0.05727255784988676
expected_utility,0.999,4039,725,483,0.1195840554592721,0.10993702772430489,0.0049984935346095065,0.0,1.018529458167672,0.2594701658826442,0.9904580152671756,0.2569943055211686,0.46087786259541985,0.019264232238824227,0.11578893582494008,0.10392323571817424,-0.05600909859511812
selection_score,0.99,5886,725,2474,0.4203194019707781,0.40776517434011994,-0.24172133157409467,-0.284248300713674,0.7734359659334339,0.9875976894325518,0.9938069843454327,0.9814814814814815,0.42559779803887837,-0.2447568824436816,-0.18396603040421,0.3980401287320609,-0.37850167565927473
selection_score,0.995,3551,725,1474,0.41509433962264153,0.39898809610402813,-0.25320663552777506,-0.3499000999000743,0.7624020435250995,0.9887355674457899,0.9940187980632299,0.9828217403548296,0.4198234121332954,-0.25609135937314986,-0.19746039047539518,0.3914825789641511,-0.3953071906391754
selection_score,0.998,2175,725,892,0.41011494252873565,0.3896203494750624,-0.2849964889345705,-0.3499000999000854,0.728471336495581,0.9866666666666667,0.994408201304753,0.9811494252873563,0.41565703634669154,-0.2888477928390918,-0.23423962672572213,0.3846411004940873,-0.4273479716128719
selection_score,0.999,1880,725,774,0.4117021276595745,0.38965776506661165,-0.28738398209106886,-0.3499000999000854,0.7261460532442943,0.9851063829787234,0.9935205183585313,0.9787234042553191,0.41792656587473004,-0.29172888030842836,-0.228414068658266,0.3857627707633499,-0.4412758238002524
legacy_composite_rank,0.99,6117,725,2603,0.42553539316658495,0.41319572742889765,-0.20824761250787782,-0.25538723339101876,0.8359759106855797,0.9756416544057545,0.9892761394101877,0.9651790093182933,0.43615951742627346,-0.2134468240131851,-0.10735952671251503,0.4064902454615781,-0.35895715921920657
legacy_composite_rank,0.995,3660,725,1577,0.4308743169398907,0.4149119922554015,-0.2076866678511932,-0.22113548371215908,0.8319633791496028,0.9754098360655737,0.9899159663865547,0.9655737704918033,0.44173669467787113,-0.2129224662003829,-0.11322388351312028,0.40871263752718195,-0.3653042903206576
legacy_composite_rank,0.998,2252,725,965,0.42850799289520425,0.40820831017911885,-0.223766992114203,-0.20419343840840076,0.8138254362977974,0.9702486678507993,0.9903890160183066,0.9609236234458259,0.4416475972540046,-0.23062849713555386,-0.13582406018539056,0.4035724297712723,-0.3901807533369604
legacy_composite_rank,0.999,1963,725,836,0.42587875700458483,0.4041701881202115,-0.22486878491526113,-0.1989936045827143,0.8122686850252265,0.9679062659195109,0.9905263157894737,0.9587366276107998,0.44,-0.2323249604150829,-0.13890405142861717,0.3998981086255065,-0.401541547571347
